line_number,lyric_text,song_id
1,"Walkin' through a crowd, the village is aglow",95
2,Kaleidoscope of loud heartbeats under coats,95
3,Everybody here wanted something more,95
4,Searching for a sound we hadn't heard before,95
5,And it said,95
6,Welcome to New York,95
7,It's been waiting for you,95
8,Welcome to New York,95
9,Welcome to New York,95
10,Welcome to New York,95
11,It's been waiting for you,95
12,Welcome to New York,95
13,Welcome to New York,95
14,It's a new soundtrack,95
15,"I could dance to this beat, beat forever more",95
16,The lights are so bright,95
17,"But they never blind me, me",95
18,Welcome to New York,95
19,It's been waiting for you,95
20,Welcome to New York,95
21,Welcome to New York,95
22,When we first dropped our bags on apartment floors,95
23,"Took our broken hearts, put them in a drawer",95
24,Everybody here was someone else before,95
25,And you can want who you want,95
26,Boys and boys and girls and girls,95
27,Welcome to New York,95
28,It's been waiting for you,95
29,Welcome to New York,95
30,Welcome to New York,95
31,Welcome to New York,95
32,It's been waiting for you,95
33,Welcome to New York,95
34,Welcome to New York,95
35,It's a new soundtrack,95
36,"I could dance to this beat, beat forever more",95
37,The lights are so bright,95
38,"But they never blind me, me",95
39,Welcome to New York (New York),95
40,It's been waiting for you,95
41,Welcome to New York,95
42,Welcome to New York,95
43,"Like any great love, it keeps you guessing",95
44,"Like any real love, it's ever changing",95
45,"Like any true love, it drives you crazy",95
46,But you know you wouldn't change,95
47,"Anything, anything, anything",95
48,Welcome to New York,95
49,It's been waiting for you,95
50,Welcome to New York,95
51,Welcome to New York,95
52,Welcome to New York,95
53,It's been waiting for you,95
54,Welcome to New York,95
55,Welcome to New York,95
56,It's a new soundtrack,95
57,I could dance to this beat,95
58,The lights are so bright,95
59,But they never blind me (Welcome to New York),95
60,New soundtrack,95
61,It's been waiting for you (Welcome to New York),95
62,The lights are so bright,95
63,But they never blind me (Welcome to New York),95
64,"So bright, they never blind me (Welcome to New York)",95
65,Welcome to New York,95
