line_number,lyric_text,song_id
1,"Nice to meet you, where you been?",96
2,I could show you incredible things,96
3,"Magic, madness, heaven, sin",96
4,Saw you there and I thought,96
5,"""Oh my God, look at that face",96
6,You look like my next mistake,96
7,"Love's a game, wanna play?""",96
8,"Aye, new money, suit and tie",96
9,I can read you like a magazine,96
10,Ain't it funny? Rumors fly,96
11,"And I know you heard about me, so hey, let's be friends",96
12,I'm dyin' to see how this one ends,96
13,Grab your passport and my hand,96
14,I can make the bad guys good for a weekend,96
15,So it's gonna be forever,96
16,Or it's gonna go down in flames,96
17,"You can tell me when it's over, mmm",96
18,If the high was worth the pain,96
19,Got a long list of ex-lovers,96
20,They'll tell you I'm insane,96
21,'Cause you know I love the players,96
22,And you love the game,96
23,'Cause we're young and we're reckless,96
24,We'll take this way too far,96
25,"It'll leave you breathless, mmm",96
26,Or with a nasty scar,96
27,Got a long list of ex-lovers,96
28,They'll tell you I'm insane,96
29,"But I've got a blank space, baby",96
30,And I'll write your name,96
31,"Cherry lips, crystal skies",96
32,I could show you incredible things,96
33,"Stolen kisses, pretty lies",96
34,"You're the king, baby, I'm your queen",96
35,Find out what you want,96
36,Be that girl for a month,96
37,"Wait, the worst is yet to come, oh no",96
38,"Screaming, crying, perfect storms",96
39,I can make all the tables turn,96
40,Rose garden filled with thorns,96
41,Keep you second-guessin' like,96
42,"""Oh my God, who is she?""",96
43,I get drunk on jealousy,96
44,But you'll come back each time you leave,96
45,"'Cause, darling, I'm a nightmare dressed like a daydream",96
46,So it's gonna be forever,96
47,Or it's gonna go down in flames,96
48,"You can tell me when it's over, mmm",96
49,If the high was worth the pain,96
50,Got a long list of ex-lovers,96
51,They'll tell you I'm insane,96
52,'Cause you know I love the players,96
53,And you love the game,96
54,'Cause we're young and we're reckless (Ooh),96
55,We'll take this way too far,96
56,"It'll leave you breathless, mmm (Oh)",96
57,Or with a nasty scar,96
58,Got a long list of ex-lovers,96
59,They'll tell you I'm insane (Insane),96
60,"But I've got a blank space, baby",96
61,And I'll write your name,96
62,Boys only want love if it's torture,96
63,"Don't say I didn't, say I didn't warn ya",96
64,Boys only want love if it's torture,96
65,"Don't say I didn't, say I didn't warn ya",96
66,So it's gonna be forever,96
67,Or it's gonna go down in flames,96
68,"You can tell me when it's over, mmm (Over)",96
69,If the high was worth the pain,96
70,Got a long list of ex-lovers,96
71,They'll tell you I'm insane,96
72,'Cause you know I love the players,96
73,And you love the game,96
74,'Cause we're young and we're reckless,96
75,We'll take this way too far (Ooh),96
76,"It'll leave you breathless, mmm",96
77,Or with a nasty scar (Leave a nasty scar),96
78,Got a long list of ex-lovers,96
79,They'll tell you I'm insane,96
80,"But I've got a blank space, baby",96
81,And I'll write your name,96
