line_number,lyric_text,song_id
1,Midnight,97
2,"You come and pick me up, no headlights",97
3,Long drive,97
4,Could end in burning flames or paradise,97
5,"Fade into view, oh",97
6,It's been a while since I have even heard from you (Heard from you),97
7,"I should just tell you to leave, 'cause I",97
8,"Know exactly where it leads, but I",97
9,Watch us go round and round each time,97
10,You got that James Dean daydream look in your eye,97
11,And I got that red lip classic thing that you like,97
12,"And when we go crashing down, we come back every time",97
13,'Cause we never go out of style,97
14,We never go out of style,97
15,"You got that long hair slicked back, white t-shirt",97
16,And I got that good girl faith and a tight little skirt,97
17,"And when we go crashing down, we come back every time",97
18,'Cause we never go out of style,97
19,We never go out of style,97
20,So it goes,97
21,He can't keep his wild eyes on the road,97
22,Takes me home,97
23,"Lights are off, he's takin' off his coat, mmm, yeah",97
24,"I say, ""I heard, oh",97
25,That you've been out and about with some other girl,97
26,"Some other girl""",97
27,"He says, ""What you heard is true, but I",97
28,"Can't stop thinking 'bout you and I""",97
29,"I said, ""I've been there too a few times""",97
30,'Cause you got that James Dean daydream look in your eye,97
31,And I got that red lip classic thing that you like,97
32,"And when we go crashing down, we come back every time",97
33,'Cause we never go out of style,97
34,We never go out of style,97
35,"You got that long hair slicked back, white t-shirt",97
36,And I got that good girl faith and a tight little skirt (A tight little skirt),97
37,"And when we go crashing down, we come back every time",97
38,"'Cause we never go out of style (We never go, we never go)",97
39,We never go out of style,97
40,Take me home,97
41,Just take me home,97
42,"Yeah, just take me home, oh (Out of style)",97
43,'Cause you got that James Dean daydream look in your eye,97
44,And I got that red lip classic thing that you like,97
45,"And when we go crashing down, we come back every time",97
46,'Cause we never go out of style,97
47,We never go out of style,97
