line_number,lyric_text,song_id
1,Looking at it now,98
2,It all seems so simple,98
3,We were lying on your couch,98
4,I remember,98
5,And you took a Polaroid of us,98
6,Then discovered (Then discovered),98
7,The rest of the world was black and white,98
8,But we were in screaming color,98
9,And I remember thinking,98
10,Are we out of the woods yet? Are we out of the woods yet?,98
11,Are we out of the woods yet? Are we out of the woods?,98
12,Are we in the clear yet? Are we in the clear yet?,98
13,"Are we in the clear yet? In the clear yet, good",98
14,Are we out of the woods yet? Are we out of the woods yet?,98
15,Are we out of the woods yet? Are we out of the woods?,98
16,Are we in the clear yet? Are we in the clear yet?,98
17,"Are we in the clear yet? In the clear yet, good",98
18,Are we out of the woods?,98
19,Looking at it now,98
20,Last December (Last December),98
21,We were built to fall apart,98
22,And fall back together (Back together),98
23,"Ooh, your necklace hanging from my neck",98
24,The night we couldn't quite forget,98
25,"When we decided, we decided",98
26,To move the furniture so we could dance,98
27,"Baby, like we stood a chance",98
28,"Two paper airplanes flying, flying, flying",98
29,And I remember thinking,98
30,Are we out of the woods yet? Are we out of the woods yet?,98
31,Are we out of the woods yet? Are we out of the woods?,98
32,Are we in the clear yet? Are we in the clear yet?,98
33,"Are we in the clear yet? In the clear yet, good",98
34,Are we out of the woods yet? Are we out of the woods yet?,98
35,Are we out of the woods yet? Are we out of the woods?,98
36,Are we in the clear yet? Are we in the clear yet?,98
37,"Are we in the clear yet? In the clear yet, good",98
38,Are we out of the woods?,98
39,Remember when you hit the brakes too soon?,98
40,Twenty stitches in a hospital room,98
41,"When you started crying, baby, I did too",98
42,"But when the sun came up, I was looking at you",98
43,Remember when you couldn't take the heat?,98
44,"I walked out, I said, ""I'm setting you free""",98
45,But the monsters turned out to be just trees,98
46,"When the sun came up, you were looking at me",98
47,"You were looking at me, oh",98
48,You were looking at me,98
49,Are we out of the woods yet? Are we out of the woods yet?,98
50,Are we out of the woods yet? Are we out of the woods? (I remember),98
51,Are we in the clear yet? Are we in the clear yet?,98
52,"Are we in the clear yet? In the clear yet, good (Oh, I remember)",98
53,Are we out of the woods yet? Are we out of the woods yet? (Yeah),98
54,Are we out of the woods yet? Are we out of the woods?,98
55,Are we in the clear yet? Are we in the clear yet? (Are we?),98
56,"Are we in the clear yet? In the clear yet, good",98
57,Are we out of the woods yet? Are we out of the woods yet?,98
58,Are we out of the woods yet? Are we out of the woods?,98
59,"Are we in the clear yet? Are we in the clear yet? (Yeah, yeah)",98
60,"Are we in the clear yet? In the clear yet, good",98
61,Are we out of the woods yet? Are we out of the woods yet?,98
62,Are we out of the woods yet? Are we out of the woods?,98
63,Are we in the clear yet? Are we in the clear yet?,98
64,"Are we in the clear yet? In the clear yet, good (Do you remember?)",98
65,Are we out of the woods yet? Are we out of the woods yet?,98
66,Are we out of the woods yet? Are we out of the woods?,98
67,Are we in the clear yet? Are we in the clear yet?,98
68,"Are we in the clear yet? In the clear yet, good",98
