line_number,lyric_text,song_id
1,People like you always want back,99
2,The love they gave away,99
3,And people like me wanna believe you,99
4,When you say you've changed,99
5,The more I think about it now,99
6,The less I know,99
7,All I know is that you drove us,99
8,Off the road (Stay),99
9,"Hey, all you had to do was stay",99
10,Had me in the palm of your hand then,99
11,Why'd you have to go and lock me out when I let you in? (Stay),99
12,"Hey, now you say you want it",99
13,"Back, now that it's just too late",99
14,"Well, could've been easy",99
15,All you had to do was stay,99
16,All you had to do was stay,99
17,All you had to do was stay,99
18,All you had to do was stay,99
19,All you had to do was stay,99
20,"Here you are now, callin' me up",99
21,But I don't know what to say,99
22,I've been pickin' up the pieces,99
23,Of the mess you made,99
24,People like you always want back,99
25,The love they pushed aside,99
26,But people like me are gone forever,99
27,When you say goodbye (Stay),99
28,"Hey, all you had to do was stay",99
29,Had me in the palm of your hand then,99
30,Why'd you have to go and lock me out when I let you in? (Stay),99
31,"Hey, now you say you want it",99
32,"Back, now that it's just too late",99
33,"Well, could've been easy",99
34,All you had to do was stay,99
35,All you had to do was stay,99
36,All you had to do was stay,99
37,"All you had to do was (Stay, stay)",99
38,Let me remind you,99
39,This was what you wanted (You ended it),99
40,You were all I wanted (But not like this),99
41,"Not like this, not like this",99
42,"Oh, all you had to do was (Stay)",99
43,"Hey, all you had to do was stay",99
44,Had me in the palm of your hand then,99
45,Why'd you have to go and lock me out when I let you in? (Stay),99
46,"Hey, now you say you want it",99
47,"Back, now that it's just too late",99
48,"Well, could've been easy",99
49,All you had to do was stay,99
50,"Hey, all you had to do was stay",99
51,Had me in the palm of your hand then,99
52,Why'd you have to go and lock me out when I let you in? (Stay),99
53,"Hey, now you say you want it",99
54,"Back, now that it's just too late",99
55,"Well, could've been easy (All you had to do was stay)",99
56,All you had to do was stay,99
57,All you had to do was stay,99
58,All you had to do was stay,99
59,All you had to do was stay,99
60,All you had to do was stay,99
