line_number,lyric_text,song_id
1,I stay out too late,100
2,Got nothing in my brain,100
3,"That's what people say, mmm-mmm",100
4,"That's what people say, mmm-mmm",100
5,I go on too many dates,100
6,But I can't make 'em stay,100
7,"At least, that's what people say, mmm-mmm",100
8,"That's what people say, mmm-mmm",100
9,But I keep cruising,100
10,"Can't stop, won't stop movin'",100
11,It's like I got this music in my mind,100
12,Sayin' it's gonna be alright,100
13,"'Cause the players gonna play, play, play, play, play",100
14,"And the haters gonna hate, hate, hate, hate, hate",100
15,"Baby, I'm just gonna shake, shake, shake, shake, shake",100
16,"Shake it off, I shake it off",100
17,"Heart breakers gonna break, break, break, break, break",100
18,"And the fakers gonna fake, fake, fake, fake, fake",100
19,"Baby, I'm just gonna shake, shake, shake, shake, shake",100
20,"I shake it off, I shake it off",100
21,I never miss a beat,100
22,I'm lightning on my feet,100
23,"And that's what they don't see, mmm-mmm",100
24,"That's what they don't see, mmm-mmm",100
25,I'm dancin' on my own (Dancin' on my own),100
26,I make the moves up as I go (Moves up as I go),100
27,"And that's what they don't know, mmm-mmm",100
28,"That's what they don't know, mmm-mmm",100
29,But I keep cruising,100
30,"Can't stop, won't stop groovin'",100
31,It's like I got this music in my mind,100
32,Sayin' it's gonna be alright,100
33,"'Cause the players gonna play, play, play, play, play",100
34,"And the haters gonna hate, hate, hate, hate, hate",100
35,"Baby, I'm just gonna shake, shake, shake, shake, shake",100
36,"Shake it off, I shake it off",100
37,"Heart breakers gonna break, break, break, break, break",100
38,"And the fakers gonna fake, fake, fake, fake, fake",100
39,"Baby, I'm just gonna shake, shake, shake, shake, shake",100
40,"I shake it off, I shake it off",100
41,"Shake it off, I shake it off",100
42,"I-I-I shake it off, I shake it off",100
43,"I-I-I shake it off, I shake it off",100
44,"I-I-I shake it off, I shake it off",100
45,"Hey, hey, hey",100
46,"Just think, while you've been gettin' down and out",100
47,"About the liars and the dirty, dirty cheats of the world",100
48,You coulda been gettin' down to this sick beat,100
49,"My ex-man brought his new girlfriend, she's like",100
50,"Oh, my God, but I'm just gonna shake",100
51,And to the fella over there with the hella good hair,100
52,"Won't you come on over, baby, we can shake, shake, shake (Yeah, oh)",100
53,"'Cause the players gonna play, play, play, play, play (Oh, oh-oh, oh-oh-oh)",100
54,"And the haters gonna hate, hate, hate, hate, hate (Haters gonna hate)",100
55,"Baby, I'm just gonna shake, shake, shake, shake, shake",100
56,"I shake it off, I shake it off (Hey)",100
57,"Heart breakers gonna break, break, break, break, break",100
58,"And the fakers gonna fake, fake, fake, fake, fake (They fake, and fake, and fake)",100
59,"Baby, I'm just gonna shake, shake, shake, shake, shake",100
60,"I shake it off, I shake it off",100
61,"Shake it off, I shake it off",100
62,"I-I-I shake it off, I shake it off",100
63,"I-I-I shake it off, I shake it off",100
64,"I-I-I shake it off, I shake it off (Yeah)",100
65,"Shake it off, I shake it off",100
66,"I-I-I shake it off, I shake it off (You've got to)",100
67,"I-I-I shake it off, I shake it off",100
68,"I-I-I shake it off, I shake it off",100
