line_number,lyric_text,song_id
1,It's 2:00 AM in your car,101
2,"Windows down, you pass my street, the memories start",101
3,"You say it's in the past, you drive straight ahead",101
4,You're thinking that I hate you now 'cause you still don't know what I never said,101
5,I wish you would come back,101
6,"Wish I never hung up the phone like I did, I",101
7,Wish you knew that,101
8,"I'd never forget you as long as I live, and I",101
9,"Wish you were right here, right now, it's all good",101
10,I wish you would,101
11,It's 2:00 AM in my room,101
12,"Headlights pass the window pane, I think of you",101
13,We're a crooked love in a straight line down,101
14,"Makes you want to run and hide, and it makes you turn right back around",101
15,I wish you would come back,101
16,"Wish I never hung up the phone like I did, I",101
17,Wish you knew that,101
18,"I'd never forget you as long as I live, and I",101
19,"Wish you were right here, right now, it's all good",101
20,I wish you would,101
21,I wish we could go back,101
22,"And remember what we were fighting for, and I",101
23,Wish you knew that,101
24,"I miss you too much to be mad anymore, and I",101
25,"Wish you were right here, right now, it's all good",101
26,I wish you would,101
27,"I, I, I, I, I, I, I, I wish I, wish I",101
28,"I, I, I, I, I, I, I wish I, wish I",101
29,"I, I, I, I, I, I, I wish I, wish I",101
30,You always knew how to push my buttons,101
31,You give me everything and nothing,101
32,"This mad, mad love makes you come running",101
33,To stand back where you stood,101
34,"I wish you would, I wish you would (I wish you would, I wish you would)",101
35,"I wish you would, I wish you would (I wish you would, I wish you would)",101
36,"I wish, I wish, I",101
37,"2:00 AM, here we are",101
38,"See your face, hear my voice in the dark",101
39,We're a crooked love in a straight line down,101
40,"Makes you wanna run and hide, but it made us turn right back around",101
41,I wish you would come back,101
42,"Wish I never hung up the phone like I did, I",101
43,Wish you knew that,101
44,"I'd never forget you as long as I live, and I",101
45,"Wish you were right here, right now, it's all good",101
46,I wish you would,101
47,I wish you would come back,101
48,"Wish I never hung up the phone like I did, I",101
49,Wish you knew that,101
50,"I'd never forget you as long as I live, and I",101
51,"Wish you were right here, right now, it's all good",101
52,I wish you would,101
53,I wish we could go back,101
54,"And remember what we were fighting for, and I",101
55,Wish you knew that,101
56,"I miss you too much to be mad anymore, and I",101
57,"Wish you were right here, right now, it's all good",101
58,I wish you would,101
59,You always knew how to push my buttons,101
60,You give me everything and nothing,101
61,"This mad, mad love makes you come running",101
62,To stand back where you stood,101
63,"I wish you would, I wish you would (I wish you would, I wish you would)",101
64,"I wish you would, I wish you would (I wish you would, I wish you would, I wish you would, I wish you would)",101
65,"I, I, I, I, I, I, I wish I, wish I",101
66,"I, I, I, I, I, I, I wish I, wish I",101
67,I wish you would,101
