line_number,lyric_text,song_id
1,"'Cause baby, now we got bad blood",102
2,You know it used to be mad love,102
3,So take a look what you've done,102
4,"'Cause baby, now we got bad blood, hey",102
5,Now we got problems,102
6,And I don't think we can solve 'em,102
7,You made a really deep cut,102
8,"And baby, now we got bad blood, hey",102
9,Did you have to do this?,102
10,I was thinking that you could be trusted,102
11,Did you have to ruin,102
12,What was shiny? Now it's all rusted,102
13,Did you have to hit me,102
14,"Where I'm weak? Baby, I couldn't breathe and",102
15,Rub it in so deep,102
16,Salt in the wound like you're laughing right at me,102
17,"Oh, it's so sad to",102
18,Think about the good times,102
19,You and I,102
20,"'Cause baby, now we got bad blood",102
21,You know it used to be mad love,102
22,So take a look what you've done,102
23,"'Cause baby, now we got bad blood, hey",102
24,Now we got problems,102
25,And I don't think we can solve 'em,102
26,You made a really deep cut,102
27,"And baby, now we got bad blood, hey",102
28,Did you think we'd be fine?,102
29,Still got scars on my back from your knife,102
30,"So, don't think it's in the past",102
31,"These kinds of wounds they last, and they last",102
32,"Now, did you think it all through?",102
33,All these things will catch up to you,102
34,And time can heal but this won't,102
35,So if you're coming my way,102
36,Just don't,102
37,"Oh, it's so sad to",102
38,Think about the good times,102
39,You and I,102
40,"'Cause baby, now we got bad blood",102
41,You know it used to be mad love,102
42,So take a look what you've done,102
43,"'Cause baby, now we got bad blood, hey",102
44,Now we got problems,102
45,And I don't think we can solve 'em,102
46,You made a really deep cut,102
47,"And baby, now we got bad blood, hey",102
48,Band-Aids don't fix bullet holes,102
49,You say sorry just for show,102
50,"If you live like that, you live with ghosts (Ghosts)",102
51,Band-Aids don't fix bullet holes,102
52,You say sorry just for show,102
53,"If you live like that, you live with ghosts, mmm",102
54,If you love like that,102
55,Blood runs cold,102
56,"'Cause baby, now we got bad blood",102
57,You know it used to be mad love,102
58,So take a look what you've done,102
59,"'Cause baby, now we got bad blood, hey (Bad blood, bad blood)",102
60,Now we got problems,102
61,And I don't think we can solve 'em (Think we can solve 'em),102
62,You made a really deep cut,102
63,"And baby, now we got bad blood",102
64,"'Cause now we got bad blood (And baby, now we got bad blood)",102
65,You know it used to be mad love,102
66,So take a look what you've done (Look what you've done),102
67,"'Cause baby, now we got bad blood, hey",102
68,Now we got problems,102
69,And I don't think we can solve 'em,102
70,You made a really deep cut,102
71,"And baby, now we got bad blood, hey",102
