line_number,lyric_text,song_id
1,"He said, ""Let's get out of this town",103
2,"Drive out of the city, away from the crowds""",103
3,"I thought, ""Heaven can't help me now""",103
4,Nothing lasts forever,103
5,But this is gonna take me down,103
6,He's so tall and handsome as hell,103
7,"He's so bad, but he does it so well",103
8,I can see the end as it begins,103
9,My one condition is,103
10,Say you'll remember me,103
11,Standin' in a nice dress,103
12,"Starin' at the sunset, babe",103
13,Red lips and rosy cheeks,103
14,Say you'll see me again,103
15,Even if it's just in your,103
16,"Wildest dreams, ah, ha",103
17,"Wildest dreams, ah, ha",103
18,"I said, ""No one has to know what we do""",103
19,"His hands are in my hair, his clothes are in my room",103
20,And his voice is a familiar sound,103
21,Nothin' lasts forever,103
22,But this is gettin' good now,103
23,He's so tall and handsome as hell,103
24,"He's so bad, but he does it so well",103
25,And when we've had our very last kiss,103
26,My last request is,103
27,Say you'll remember me,103
28,Standin' in a nice dress,103
29,"Starin' at the sunset, babe",103
30,Red lips and rosy cheeks,103
31,Say you'll see me again,103
32,Even if it's just in your,103
33,"Wildest dreams, ah, ha (Ha, ha)",103
34,"Wildest dreams, ah, ha",103
35,You'll see me in hindsight,103
36,Tangled up with you all night,103
37,Burnin' it down,103
38,"Someday, when you leave me",103
39,I bet these memories,103
40,Follow you around,103
41,You'll see me in hindsight,103
42,Tangled up with you all night,103
43,Burnin' it down (Burnin' it down),103
44,"Someday, when you leave me",103
45,I bet these memories,103
46,"Follow you around (Follow you around, follow you around)",103
47,Say you'll remember me,103
48,Standin' in a nice dress,103
49,"Starin' at the sunset, babe",103
50,Red lips and rosy cheeks,103
51,Say you'll see me again,103
52,Even if it's just pretend,103
53,Say you'll remember me,103
54,Standin' in a nice dress,103
55,"Starin' at the sunset, baby",103
56,Red lips and rosy cheeks,103
57,Say you'll see me again,103
58,"Even if it's just in your (Just pretend, just pretend)",103
59,"Wildest dreams, ah, ha (Ah)",103
60,"Wildest dreams, ah, ha (Even if it's just in your)",103
61,"In your wildest dreams, ah, ha",103
62,"In your wildest dreams, ah, ha",103
