line_number,lyric_text,song_id
1,"Oh, oh, oh",104
2,"Oh, oh, oh",104
3,"Oh-oh, oh-oh",104
4,"Oh-oh, oh-oh",104
5,"Stand there like a ghost, shaking from the rain, rain",104
6,"She'll open up the door and say, ""Are you insane-ane?""",104
7,Say it's been a long six months,104
8,"And you were too afraid to tell her what you want, want",104
9,And that's how it works,104
10,That's how you get the girl,104
11,"And then, you say",104
12,I want you for worse or for better,104
13,I would wait forever and ever,104
14,"Broke your heart, I'll put it back together",104
15,I would wait forever and ever,104
16,And that's how it works,104
17,"That's how you get the girl, girl",104
18,Oh-oh,104
19,And that's how it works,104
20,"That's how you get the girl, girl",104
21,"Remind her how it used to be, be, yeah, yeah",104
22,"With pictures in frames of kisses on cheeks, cheeks",104
23,"Tell her how you must have lost your mind, ooh",104
24,"When you left her all alone, and never told her why, why",104
25,And that's how it works,104
26,That's how you lost the girl,104
27,"And now, you say",104
28,I want you for worse or for better,104
29,I would wait forever and ever (Ever and ever),104
30,"Broke your heart, I'll put it back together",104
31,I would wait forever and ever (Ever and ever),104
32,And that's how it works,104
33,"That's how you get the girl, girl",104
34,Oh-oh,104
35,And that's how it works,104
36,"That's how you get the girl, girl, yeah, yeah",104
37,"And you know, oh, oh, oh-oh, oh-oh, oh, oh-oh-oh",104
38,That I don't want you to go-oh-oh,104
39,Remind me how it used to be,104
40,Pictures in frames of kisses on cheeks,104
41,And say you want me,104
42,"Yeah, yeah, 'cause (And then you say)",104
43,I want you for worse or for better (Worse or for better),104
44,I would wait forever and ever (Ever and ever),104
45,"Broke your heart, I'll put it back together",104
46,I want you forever and ever,104
47,And that's how it works,104
48,"That's how you get the girl, girl ('Cause that's how it works)",104
49,And that's how it works,104
50,"That's how you get the girl, girl (Get the girl, that's how it works)",104
51,And that's how it works (Oh-oh),104
52,"That's how you get the girl, girl (Oh-oh, oh-oh, oh-oh, oh, oh-oh-oh)",104
53,And that's how it works,104
54,"That's how you get the girl, girl (Oh, oh-oh, oh-oh, oh, oh-oh-oh)",104
55,And that's how it works,104
56,That's how you got the girl,104
