line_number,lyric_text,song_id
1,Clear blue water,105
2,High tide came and brought you in,105
3,And I could go on and on,105
4,"On and on, and I will",105
5,Skies grew darker,105
6,Currents swept you out again,105
7,And you were just gone and gone,105
8,Gone and gone,105
9,In silent screams,105
10,In wildest dreams,105
11,I never dreamed of this,105
12,"This love is good, this love is bad",105
13,"This love is alive, back from the dead, oh-oh-oh",105
14,These hands had to let it go free,105
15,"And this love came back to me, oh-oh-oh",105
16,Oh-oh-oh,105
17,Oh-oh-oh,105
18,"Tossing, turning",105
19,Struggled through the night with someone new,105
20,"Baby, I could go on and on",105
21,On and on,105
22,Lantern burning,105
23,Flickered in my mind for only you,105
24,But you were still gone,105
25,"Gone, gone",105
26,Been losing grip,105
27,On sinking ships,105
28,You showed up just in time,105
29,"This love is good, this love is bad",105
30,"This love is alive, back from the dead, oh-oh-oh",105
31,These hands had to let it go free,105
32,"And this love came back to me, oh-oh-oh",105
33,This love left a permanent mark,105
34,"This love is glowing in the dark, oh-oh-oh",105
35,These hands had to let it go free,105
36,"And this love came back to me, oh-oh-oh",105
37,"This love, this love, this love, this love",105
38,"This love, this love, this love, this love",105
39,"This love, this love, this love, this love",105
40,"This love, this love, this love, this love",105
41,"Your kiss, my cheek",105
42,I watched you leave,105
43,"Your smile, my ghost",105
44,I fell to my knees,105
45,"When you're young, you just run",105
46,But you come back to what you need,105
47,"This love is good, this love is bad",105
48,"This love is alive, back from the dead, oh-oh-oh",105
49,These hands had to let it go free,105
50,"And this love came back to me, oh-oh-oh (This love)",105
51,This love left a permanent mark,105
52,"This love is glowing in the dark, oh-oh-oh (This love)",105
53,These hands had to let it go free,105
54,"And this love came back to me, oh-oh-oh (This love)",105
55,"This love, this love, this love, this love",105
56,"This love, this love, this love, this love",105
57,"This love, this love, this love, this love",105
58,"This love, this love came back to me, oh-oh-oh",105
