line_number,lyric_text,song_id
1,"I, I, I, I, I, I, I, I",106
2,"I, I, I, I, I, I, I, I",106
3,"I, I, I, I, I, I, I, I, I, I",106
4,You stand with your hand on my waistline,106
5,It's a scene and we're out here in plain sight,106
6,I can hear them whisper as we pass by,106
7,"It's a bad sign, bad sign",106
8,Something happens when everybody finds out,106
9,"See the vultures circling, dark clouds",106
10,"Love's a fragile little flame, it could burn out",106
11,It could burn out,106
12,"'Cause they got the cages, they got the boxes and guns",106
13,"They are the hunters, we are the foxes and we run",106
14,"Baby, I know places we won't be found",106
15,And they'll be chasing their tails trying to track us down,106
16,"'Cause I, I know places we can hide",106
17,"I know places, I know places",106
18,Lights flash and we'll run for the fences,106
19,"Let them say what they want, we won't hear it",106
20,Loose lips sink ships all the damn time,106
21,Not this time,106
22,"Just grab my hand and don't ever drop it, my love",106
23,"They are the hunters, we are the foxes, and we run",106
24,"Baby, I know places we won't be found",106
25,And they'll be chasing their tails trying to track us down,106
26,"'Cause I, I know places we can hide",106
27,I know places,106
28,"They are the hunters, we are the foxes, and we run",106
29,"Just grab my hand and don't ever drop it, my love",106
30,"Baby, I know places we won't be found",106
31,And they'll be chasing their tails trying to track us down,106
32,"'Cause I, I know places we can hide",106
33,I know places,106
34,"They take their shots, but we're bulletproof (I, I know places)",106
35,"And you know for me, it's always you (Hide, I know places)",106
36,"In the dead of night, your eyes so green (I, I know places)",106
37,"And I know for you, it's always me (Hide, I know places)",106
38,"I, I, I, I, I, I, I, I",106
39,"I, I, I, I, I, I, I, I",106
