line_number,lyric_text,song_id
1,"One look, dark room meant just for you",109
2,"Time moved too fast, you played it back",109
3,"Buttons on a coat, light-hearted joke",109
4,"No proof, not much, but you saw enough",109
5,"Small talk, he drives, coffee at midnight",109
6,The light reflects the chain on your neck,109
7,"He says, ""Look up,"" and your shoulders brush",109
8,"No proof, one touch, but you felt enough",109
9,"You can hear it in the silence, silence",109
10,"You, you can feel it on the way home, way home",109
11,"You, you can see it with the lights out, lights out",109
12,"You are in love, true love",109
13,You are in love,109
14,"Morning, his place, burnt toast, Sunday",109
15,"You keep his shirt, he keeps his word",109
16,"And for once, you let go",109
17,Of your fears and your ghosts,109
18,"One step, not much, but it said enough",109
19,"You kiss on sidewalks, you fight then you talk",109
20,"One night, he wakes, strange look on his face",109
21,"Pauses, then says, ""You're my best friend""",109
22,"And you knew what it was, he is in love",109
23,"You can hear it in the silence, silence",109
24,"You, you can feel it on the way home, way home",109
25,"You, you can see it with the lights out, lights out",109
26,"You are in love, true love",109
27,You are in love,109
28,And so it goes,109
29,"You two are dancing in a snow globe, 'round and 'round",109
30,And he keeps a picture of you in his office downtown,109
31,And you understand now why,109
32,They lost their minds and fought the wars,109
33,And why I've spent my whole life trying to put it into words,109
34,'Cause you can hear it in the silence,109
35,You can feel it on the way home,109
36,You can see it with the lights out,109
37,"You are in love, true love",109
38,You are in love,109
39,"You can hear it in the silence, silence",109
40,"You, you can feel it on the way home, way home",109
41,"You, you can see it with the lights out, lights out",109
42,"You are in love, true love",109
43,You are in love,109
44,"You can hear it in the silence, silence",109
45,"You, you can feel it on the way home, way home",109
46,"You, you can see it with the lights out, lights out",109
47,"You are in love, true love",109
48,You are in love,109
