line_number,lyric_text,song_id
1,"We're all bored, we're all so tired of everything",110
2,We wait for trains that just aren't coming,110
3,We show off our different scarlet letters,110
4,"Trust me, mine is better",110
5,"We're so young, but we're on the road to ruin",110
6,"We play dumb, but we know exactly what we're doing",110
7,We cry tears of mascara in the bathroom,110
8,"Honey, life is just a classroom",110
9,"Ah-ah-ah-ah, ah, ah",110
10,"'Cause, baby, I could build a castle",110
11,Out of all the bricks they threw at me,110
12,And every day is like a battle,110
13,But every night with us is like a dream,110
14,"Baby, we're the new romantics",110
15,"Come on, come along with me",110
16,Heartbreak is the national anthem,110
17,We sing it proudly,110
18,We are too busy dancing,110
19,To get knocked off our feet,110
20,"Baby, we're the new romantics",110
21,The best people in life are free,110
22,"We're all here, the lights and noise are blinding",110
23,"We hang back, it's all in the timing",110
24,"It's poker, he can't see it in my face",110
25,But I'm about to play my ace,110
26,"We need love, but all we want is danger",110
27,We team up and switch sides like a record changer,110
28,The rumors are terrible and cruel,110
29,"But, honey, most of them are true",110
30,"Ah-ah-ah-ah, ah, ah",110
31,"'Cause, baby, I could build a castle",110
32,Out of all the bricks they threw at me,110
33,And every day is like a battle,110
34,But every night with us is like a dream,110
35,"Baby, we're the new romantics",110
36,"Come on, come along with me",110
37,Heartbreak is the national anthem,110
38,We sing it proudly,110
39,We are too busy dancing,110
40,To get knocked off our feet,110
41,"Baby, we're the new romantics",110
42,The best people in life are free,110
43,"So come on, come along with me",110
44,The best people in life are free,110
45,Please take my hand and,110
46,Please take me dancing and,110
47,"Please leave me stranded, it's so romantic (It's so romantic)",110
48,"Ah-ah-ah-ah, ah, ah",110
49,"Oh, 'cause, baby, I could build a castle",110
50,Out of all the bricks they threw at me,110
51,Every day is like a battle,110
52,But every night with us is like a dream,110
53,"'Cause, baby, I could build a castle (Castle)",110
54,Out of all the bricks they threw at me,110
55,And every day is like a battle,110
56,But every night with us is like a dream,110
57,"Baby, we're the new romantics",110
58,"Come on, come along with me",110
59,Heartbreak is the national anthem,110
60,We sing it proudly,110
61,We are too busy dancing,110
62,To get knocked off our feet,110
63,"Baby, we're the new romantics",110
64,The best people in life are free,110
