line_number,lyric_text,song_id
1,Flamingo pink,111
2,Sunrise Boulevard,111
3,Clink-clink,111
4,Being this young is art,111
5,Aquamarine,111
6,Moonlit swimming pool,111
7,What if all I need is you?,111
8,Got lovestruck,111
9,Went straight to my head,111
10,Got lovesick,111
11,All over my bed,111
12,Love to think you'll never forget,111
13,Handprints in wet cement,111
14,Adorned with smoke on my clothes,111
15,Lovelorn and nobody knows,111
16,Love thorns all over this rose,111
17,"I'll pay the price, you won't",111
18,But if I'm all dressed up,111
19,They might as well be looking at us,111
20,If they call me a slut,111
21,You know it might be worth it for once,111
22,If I'm going to be drunk,111
23,Might as well be drunk in love,111
24,"Send the code, he's waiting there",111
25,The sticks and stones they throw froze mid-air,111
26,Everyone wants him,111
27,That was my crime,111
28,The wrong place at the right time,111
29,And then I break down and he's pulling me in,111
30,"In a world of boys, he's a gentleman",111
31,Got lovestruck,111
32,Went straight to my head (Straight to my head),111
33,Got lovesick,111
34,All over my bed (Over my bed),111
35,Love to think you'll never forget,111
36,"We'll pay the price, I guess",111
37,But if I'm all dressed up (If I'm all dressed up),111
38,They might as well be looking at us (Looking at us),111
39,If they call me a slut (If they call me a slut),111
40,You know it might be worth it for once (Worth it for once),111
41,If I'm going to be drunk,111
42,I might as well be drunk in love,111
43,Half asleep,111
44,Taking your time in the tangerine neon light,111
45,This is luxury,111
46,You're not saying you're in love with me,111
47,But you're going to,111
48,Half awake,111
49,"Taking your chance, it's a big mistake (Mistake)",111
50,It might blow up in your pretty face,111
51,"I'm not saying, ""Do it anyway"" (Do it anyway)",111
52,But you're going to,111
53,Oh,111
54,And if they call me a slut!,111
55,You know it might be worth it for once,111
56,And if I'm going to be drunk!,111
57,Might as well be drunk in love,111
