line_number,lyric_text,song_id
1,I've known it from the very start,112
2,We're a shot in the darkest dark,112
3,"Oh no, oh no",112
4,I'm unarmed,112
5,The waiting is a sadness,112
6,Fading into madness,112
7,"Oh no, oh no",112
8,It won't stop,112
9,"I'm standing on a tightrope, alone",112
10,I hold my breath a little bit longer,112
11,"Halfway out the door, but it won't close",112
12,"I'm holding out hope for you to say, ""Don't go""",112
13,"I would stay forever if you say, ""Don't go""",112
14,Why'd you have to lead me on?,112
15,Why'd you have to twist the knife?,112
16,"Walk away and leave me bleeding, bleeding",112
17,Why'd you whisper in the dark,112
18,Just to leave me in the night?,112
19,"Now your silence has me screaming, screaming",112
20,"Say, ""Don't go"" (Say, ""Don't go"")",112
21,"I would stay forever if you say, ""Don't go"" (Say, ""Don't go"")",112
22,"Say, say, say, say",112
23,Now I'm pacing on shaky ground,112
24,"Strike a match, then you blow it out",112
25,"Oh no, oh no",112
26,It's not fair,112
27,'Cause you kiss me and it stops time,112
28,"And I'm yours, but you're not mine",112
29,"Oh no, oh no",112
30,You're not there,112
31,"I'm standing on the sidewalk, alone",112
32,I wait for you to drive by,112
33,I'm trying to see the cards that you won't show,112
34,"I'm about to fold unless you say, ""Don't go"" (Say, ""Don't go"")",112
35,"I would stay forever if you say, ""Don't go"" (Say, ""Don't go"")",112
36,Oh-ah,112
37,Why'd you have to lead me on?,112
38,Why'd you have to twist the knife?,112
39,"Walk away and leave me bleeding, bleeding",112
40,Why'd you whisper in the dark,112
41,Just to leave me in the night?,112
42,"Now your silence has me screaming, screaming",112
43,"Say, ""Don't go"" (Say, ""Don't go"")",112
44,"I would stay forever if you say, ""Don't go"" (Say, ""Don't go"")",112
45,"Say, say, say, say",112
46,Why'd you have to make me want you? (Why'd you have to make me want you?),112
47,Why'd you have to give me nothing back? (Why'd you have to),112
48,Why'd you have to make me love you? (Why'd you have to make me love you?),112
49,"I said, ""I love you,"" you say nothing back (I said, ""I love you"")",112
50,Why'd you have to lead me on?,112
51,Why'd you have to twist the knife?,112
52,"Walk away and leave me bleeding, bleeding",112
53,Why'd you whisper in the dark,112
54,Just to leave me in the night?,112
55,"Now your silence has me screaming, screaming",112
56,"Say, ""Don't go"" (Say, ""Don't go"")",112
57,"I would stay forever if you say, ""Don't go"" (Say, ""Don't go"")",112
58,"Say, say, say, say",112
59,But you won't,112
60,But you won't,112
61,But you won't,112
62,"I would stay forever if you say, ""Don't go""",112
63,But you won't,112
64,But you won't,112
65,But you won't,112
