line_number,lyric_text,song_id
1,"You went to a party, I heard from everybody",113
2,"You part the crowd like the Red Sea, don't even get me started",113
3,"Did you get anxious, though, on the way home?",113
4,"I guess I'll never, ever know",113
5,Now that we don't talk,113
6,"You grew your hair long, you got new icons",113
7,"And from the outside, it looks like you're trying lives on",113
8,"I miss the old ways, you didn't have to change",113
9,But I guess I don't have a say,113
10,Now that we don't talk,113
11,"I called my mom, she said that it was for the best",113
12,"Remind myself the more I gave, you'd want me less",113
13,"I cannot be your friend, so I pay the price of what I lost",113
14,And what it cost,113
15,Now that we don't talk,113
16,What do you tell your friends we,113
17,"Shared dinners, long weekends with?",113
18,"Truth is, I can't pretend it's",113
19,"Platonic, it's just ended, so",113
20,"I called my mom, she said to get it off my chest (Off my chest)",113
21,Remind myself the way you faded till I left (Till I left),113
22,"I cannot be your friend, so I pay the price of what I lost (What I lost)",113
23,And what it cost,113
24,Now that we don't talk,113
25,I don't have to pretend I like acid rock,113
26,Or that I'd like to be on a mega-yacht,113
27,With important men who think important thoughts,113
28,Guess maybe I am better off,113
29,Now that we don't talk,113
30,And the only way back to my dignity,113
31,Was to turn into a shrouded mystery,113
32,Just like I had been when you were chasing me,113
33,Guess this is how it has to be,113
34,Now that we don't talk,113
