line_number,lyric_text,song_id
1,"'Cause, baby, now we've got bad blood",116
2,You know it used to be mad love,116
3,So take a look what you've done,116
4,"Uh, uh",116
5,"'Cause, baby, now we've got bad blood, hey!",116
6,"Uh, hey",116
7,"I can't take it back, look where I'm at",116
8,"We was O-G like D.O.C., remember that? (Remember that?)",116
9,"My T-L-C was quite O-D, I-D my facts",116
10,"Now P-O-V of you and me, similar Iraq",116
11,"I don't hate you, but I hate to critique, overrate you",116
12,"These beats of a dark heart, use basslines to replace you",116
13,"Take time and erase you, love don't hear no more",116
14,"No, I don't fear no more, better yet, respect ain't quite sincere no more",116
15,"Oh, it's so sad to",116
16,Think about the good times,116
17,You and I,116
18,"'Cause, baby, now we've got bad blood",116
19,You know it used to be mad love,116
20,So take a look what you've done,116
21,"'Cause, baby, now we've got bad blood, hey!",116
22,Now we've got problems,116
23,And I don't think we can solve 'em,116
24,You made a really deep cut,116
25,Uh,116
26,"And, baby, now we've got bad blood, hey!",116
27,"Uh, hey",116
28,Remember when you tried to write me off?,116
29,Remember when you thought I'd take a loss?,116
30,Don't you remember? You thought that I would need ya,116
31,"Follow procedure, remember? Oh, wait, you've got amnesia",116
32,It was my season for battle wounds,116
33,"Battle scars, body bumped, bruised",116
34,"Stabbed in the back, brimstone, fire jumping through",116
35,"Still, all my life, I got money and power",116
36,And you gotta live with the bad blood now,116
37,"Oh, it's so sad to",116
38,Think about the good times,116
39,You and I,116
40,"'Cause, baby, now we've got bad blood",116
41,You know it used to be mad love,116
42,So take a look what you've done,116
43,"'Cause, baby, now we've got bad blood, hey!",116
44,Now we've got problems,116
45,And I don't think we can solve 'em,116
46,You made a really deep cut,116
47,"And, baby, now we've got bad blood, hey!",116
48,Band-Aids don't fix bullet holes,116
49,You say sorry just for show,116
50,"If you live like that, you live with ghosts",116
51,"You forgive, you forget, but you never let it go",116
52,Band-Aids don't fix bullet holes,116
53,You say sorry just for show,116
54,"If you live like that, you live with ghosts",116
55,"If you love like that, blood runs cold",116
56,"'Cause, baby, now we've got bad blood",116
57,You know it used to be mad love,116
58,So take a look what you've done,116
59,"'Cause, baby, now we've got bad blood, hey!",116
60,Now we've got problems,116
61,And I don't think we can solve 'em (Think we can solve 'em),116
62,You made a really deep cut,116
63,"And, baby, now we've got bad blood",116
64,"'Cause, now we've got bad blood",116
65,You know it used to be mad love,116
66,So take a look what you've done,116
67,"'Cause, baby, now we've got bad blood",116
68,Now we've got problems,116
69,And I don't think we can solve 'em,116
70,You made a really deep cut,116
71,"And, baby, now we've got bad blood, hey!",116
