line_number,lyric_text,song_id
1,You're on the phone with your girlfriend,21
2,"She's upset, she's going off about something that you said",21
3,'Cause she doesn't get your humor like I do,21
4,"I'm in my room, it's a typical Tuesday night",21
5,I'm listening to the kind of music she doesn't like,21
6,And she'll never know your story like I do,21
7,"'Cause she wears short skirts, I wear t-shirts",21
8,She's cheer captain and I'm on the bleachers,21
9,Dreaming 'bout the day when you wake up and find,21
10,That what you're looking for has been here the whole time,21
11,If you could see that I'm the one who understands you,21
12,"Been here all along, so why can't you see",21
13,You belong with me,21
14,You belong with me,21
15,Walk in the streets with you in your worn out jeans,21
16,I can't help thinking this is how it ought to be,21
17,"Laughing on a park bench thinking to myself, ""Hey, isn't this easy?""",21
18,And you've got a smile that could light up this whole town,21
19,I haven't seen it in a while since she brought you down,21
20,"You say you're fine, I know you better than that",21
21,"Hey, what you doing with a girl like that?",21
22,"She wears high heels, I wear sneakers",21
23,She's cheer captain and I'm on the bleachers,21
24,Dreaming 'bout the day when you wake up and find,21
25,That what you're looking for has been here the whole time,21
26,If you could see that I'm the one who understands you,21
27,Been here all along so why can't you see,21
28,You belong with me,21
29,Standing by waiting at your back door,21
30,"All this time how could you not know, baby?",21
31,You belong with me,21
32,You belong with me,21
33,"Oh, I remember you driving to my house in the middle of the night",21
34,I'm the one who makes you laugh when you know you're 'bout to cry,21
35,I know your favorite songs and you tell me about your dreams,21
36,"Think I know where you belong, think I know it's with me",21
37,Can't you see that I'm the one who understands you,21
38,Been here all along so why can't you see,21
39,You belong with me,21
40,Standing by waiting at your back door,21
41,"All this time how could you not know, baby?",21
42,You belong with me,21
43,You belong with me,21
44,You belong with me,21
45,"Have you ever thought, just maybe",21
46,You belong with me,21
47,You belong with me,21
