line_number,lyric_text,song_id
1,"I took a chance, I took a shot",23
2,"And you might think I'm bulletproof, but I'm not",23
3,"You took a swing, I took it hard",23
4,And down here from the ground I see who you are,23
5,I'm sick and tired of your attitude,23
6,I'm feeling like I don't know you,23
7,You tell me that you love me then cut me down,23
8,And I need you like a heartbeat,23
9,But you know you got a mean streak,23
10,Makes me run for cover when you're around,23
11,Here's to you and your temper,23
12,"Yes, I remember what you said last night",23
13,And I know that you see what you're doing to me,23
14,Tell me why,23
15,Well you could write a book on how to ruin someone's perfect day,23
16,Well I get so confused and frustrated,23
17,"Forget what I'm trying to say, oh",23
18,I'm sick and tired of your reasons,23
19,I got no one to believe in,23
20,"You tell me that you want me, then push me around",23
21,And I need you like a heartbeat,23
22,But you know you got a mean streak,23
23,Makes me run for cover when you're around,23
24,Here's to you and your temper,23
25,"Yes, I remember what you said last night",23
26,And I know that you see what you're doing to me,23
27,Tell me why,23
28,Why do you have to make me feel small,23
29,So you can feel whole inside?,23
30,Why do you have to put down my dreams,23
31,So you're the only thing on my mind?,23
32,"Well, I'm sick and tired of your attitude",23
33,Feeling like I don't know you,23
34,You tell me that you want me then cut me down,23
35,I'm sick and tired of your reasons,23
36,I've got no one to believe in,23
37,You ask me for my love then you push me around,23
38,Here's to you and your temper,23
39,"Yes, I remember what you said last night",23
40,And I know that you see what you're doing to me,23
41,Tell me why,23
42,"Why, tell me why, oh",23
43,"I take a step back, let you go",23
44,I told you I'm not bulletproof,23
45,Now you know,23
