line_number,lyric_text,song_id
1,"Well, it's a sad picture, the final blow hits you",28
2,Somebody else gets what you wanted again,28
3,"You know it's all the same, another time and place",28
4,"Repeating history, and you're getting sick of it",28
5,But I believe in whatever you do,28
6,And I'll do anything to see it through,28
7,Because these things will change,28
8,Can you feel it now?,28
9,These walls that they put up to hold us back will fall down,28
10,"It's a revolution, the time will come for us to finally win",28
11,"And we'll sing hallelujah, we'll sing hallelujah",28
12,"Oh, oh",28
13,So we've been outnumbered,28
14,Raided and now cornered,28
15,It's hard to fight when the fight ain't fair,28
16,We're getting stronger now,28
17,Find things they never found,28
18,They might be bigger,28
19,But we're faster and never scared,28
20,"You can walk away, say we don't need this",28
21,But there's something in your eyes,28
22,Says we can beat this,28
23,'Cause these things will change,28
24,Can you feel it now?,28
25,These walls that they put up to hold us back will fall down,28
26,"It's a revolution, the time will come for us to finally win",28
27,"And we'll sing hallelujah, we'll sing hallelujah",28
28,"Oh, oh",28
29,"Tonight, we'll stand, get off our knees",28
30,Fight for what we've worked for all these years,28
31,"And the battle was long, it's the fight of our lives",28
32,But we'll stand up champions tonight,28
33,It was the night things changed,28
34,Can you see it now?,28
35,When the walls that they put up to hold us back fell down,28
36,"It's a revolution, throw your hands up 'cause we never gave in",28
37,"And we'll sing hallelujah, we sang hallelujah",28
38,Hallelujah,28
