line_number,lyric_text,song_id
1,I like the way you sound in the morning,29
2,We're on the phone and without a warning,29
3,I realize your laugh is the best sound I have ever heard,29
4,I like the way I can't keep my focus,29
5,"I watch you talk, you didn't notice",29
6,I hear the words but all I can think is we should be together,29
7,"Every time you smile, I smile",29
8,"And every time you shine, I'll shine for you",29
9,"Whoa, I'm feeling you baby",29
10,"Don't be afraid to jump then fall, jump then fall into me",29
11,"Baby, I'm never gonna leave you",29
12,Say that you wanna be with me too,29
13,'Cause I'ma stay through it all so jump then fall,29
14,"Huh, well I like the way your hair falls in your face",29
15,"You got the keys to me, I love each freckle on your face",29
16,"Oh, I never been so wrapped up, honey",29
17,I like the way you're everything I ever wanted,29
18,I had time to think it o-o-over and all I can say is come closer,29
19,"Take a deep breath and jump then, fall into me",29
20,"'Cause every time you smile, I smile",29
21,"And every time you shine, I'll shine for you",29
22,"Whoa, I'm feeling you baby",29
23,"Don't be afraid to jump then fall, jump then fall into me",29
24,"Baby, I'm never gonna leave you",29
25,Say that you wanna be with me too,29
26,'Cause I'ma stay through it all so jump then fall,29
27,The bottom's gonna drop out from under our feet,29
28,"I'll catch you, I'll catch you",29
29,When people say things that bring you to your knees,29
30,I'll catch you,29
31,The time is gonna come when you're so mad you could cry,29
32,But I'll hold you through the night until you,29
33,Smile,29
34,"Whoa, I need you baby",29
35,"Don't be afraid, please jump then fall, jump then fall into me",29
36,"Baby, I'm never gonna leave you",29
37,Say that you wanna be with me too,29
38,'Cause I'm gonna stay through it all so jump then fall,29
39,"Jump then fall, baby",29
40,Jump then fall,29
41,"Into me, into me",29
42,"Every time you smile, I smile",29
43,"And every time you shine, I'll shine",29
44,"And every time you're here, baby I'll show you",29
45,"I'll show you, you can jump then fall",29
46,Jump then fall,29
47,Jump then fall,29
48,"Into me, into me, yeah",29
