line_number,lyric_text,song_id
1,Untouchable like a distant diamond sky,30
2,"I'm reaching out, and I just can't tell you why",30
3,I'm caught up in you,30
4,I'm caught up in you,30
5,"Untouchable, burning brighter than the sun",30
6,"And when you're close, I feel like coming undone",30
7,"In the middle of the night, when I'm in this dream",30
8,It's like a million little stars spelling out your name,30
9,"You gotta c'mon, c'mon",30
10,Say that we'll be together,30
11,"C'mon, c'mon",30
12,Little taste of heaven,30
13,"It's half full, and I won't wait here all day",30
14,I know you're saying that you'd be here anyway,30
15,"But you're untouchable, burning brighter than the sun, and",30
16,"Now that you're close, I feel like coming undone",30
17,"In the middle of the night, when I'm in this dream",30
18,It's like a million little stars spelling out your name,30
19,"You gotta c'mon, c'mon",30
20,Say that we'll be together,30
21,"C'mon, c'mon",30
22,"Oh, in the middle of the night, waking from this dream",30
23,I wanna feel you by my side standing next to me,30
24,"You gotta c'mon, c'mon",30
25,Say that we'll be together,30
26,"C'mon, c'mon",30
27,Little taste of heaven,30
28,I'm caught up in you,30
29,"Oh, oh, oh",30
30,"But you're untouchable, burning brighter than the sun",30
31,"Now that you're close, I feel like coming undone",30
32,"In the middle of the night, when I'm in this dream",30
33,It's like a million little stars spelling out your name,30
34,"You gotta c'mon, c'mon",30
35,Say that we'll be together,30
36,"C'mon, c'mon",30
37,"Oh, oh, oh",30
38,"In the middle of the night, when I'm in this dream",30
39,It's like a million little stars spelling out your name,30
40,"You gotta c'mon, c'mon",30
41,Say that we'll be together,30
42,"C'mon, c'mon",30
43,C'mon,30
44,"In the middle of the night, waking from this dream",30
45,I wanna feel you by my side standing next to me,30
46,"You gotta c'mon, c'mon",30
47,Say that we'll be together,30
48,"C'mon, c'mon",30
49,Little taste of heaven,30
50,"Oh, oh",30
51,"Oh, oh, oh",30
52,"Oh, oh, oh",30
53,"Oh, oh",30
54,"And in the middle of the night, when I'm in this dream",30
55,It's like a million little stars spelling out your name,30
56,"You gotta c'mon, c'mon",30
57,"Oh, c'mon, c'mon",30
58,"C'mon, c'mon",30
59,"Oh, oh, oh, oh",30
60,It's like a million little stars spelling out your name,30
61,"Spelling out your name, oh",30
