line_number,lyric_text,song_id
1,"This is wrong, but I can't help but feel like",33
2,"There ain't nothin' more right, babe",33
3,"Misty morning comes again, and I can't",33
4,Help but wish I could see your face,33
5,I knew from the first note played,33
6,I'd be breaking all my rules to see you,33
7,"You smile that beautiful smile, and all the girls in the front row",33
8,Scream your name,33
9,"So dim that spotlight, tell me things like",33
10,I can't keep my eyes off of you,33
11,"I'm no one special, just another wide-eyed girl",33
12,Who's desperately in love with you,33
13,Give me a photograph to hang on my wall,33
14,Superstar,33
15,Morning loneliness,33
16,Comes around when I'm not dreaming about you,33
17,But when my world wakes up today,33
18,You'll be in another town,33
19,And I knew when I saw your face,33
20,I'd be counting down the ways to see you,33
21,"You smile that beautiful smile, and all the girls in the front row",33
22,Scream your name,33
23,"So dim that spotlight, tell me things like",33
24,I can't take my eyes off of you,33
25,"I'm no one special, just another wide-eyed girl",33
26,Who's desperately in love with you,33
27,Give me a photograph to hang on my wall,33
28,Superstar,33
29,"You played in bars, you play guitar",33
30,I'm invisible and everyone knows who you are,33
31,And you'll never see you sing me to sleep,33
32,Every night from the radio,33
33,"So dim that spotlight, tell me things like",33
34,I can't take my eyes off of you,33
35,"I'm no one special, just another wide-eyed girl",33
36,Who's desperately in love with you,33
37,Give me a photograph to hang on my wall,33
38,Superstar,33
39,"Sweet, sweet superstar",33
40,Superstar,33
