line_number,lyric_text,song_id
1,Today was a fairytale,35
2,You were the prince,35
3,I used to be a damsel in distress,35
4,You took me by the hand and you picked me up at six,35
5,Today was a fairytale,35
6,Today was a fairytale,35
7,Today was a fairytale,35
8,I wore a dress,35
9,You wore a dark grey t-shirt,35
10,You told me I was pretty when I looked like a mess,35
11,Today was a fairytale,35
12,Time slows down,35
13,Whenever you're around,35
14,But can you feel this magic in the air?,35
15,It must have been the way you kissed me,35
16,Fell in love when I saw you standing there,35
17,It must have been the way,35
18,Today was a fairytale,35
19,It must have been the way,35
20,Today was a fairytale,35
21,Today was a fairytale,35
22,You've got a smile,35
23,Takes me to another planet,35
24,"Every move you make, everything you say is right",35
25,Today was a fairytale,35
26,Today was a fairytale,35
27,All that I can say,35
28,Is now it's getting so much clearer,35
29,Nothing made sense till the time I saw your face,35
30,Today was a fairytale,35
31,Time slows down,35
32,"Whenever you're around, yeah",35
33,But can you feel this magic in the air?,35
34,It must have been the way you kissed me,35
35,Fell in love when I saw you standing there,35
36,It must have been the way,35
37,Today was a fairytale,35
38,It must have been the way,35
39,Today was a fairytale,35
40,Time slows down whenever you're around,35
41,I can feel my heart,35
42,It's beating in my chest,35
43,Did you feel it?,35
44,I can't put this down,35
45,But can you feel this magic in the air?,35
46,It must have been the way you kissed me,35
47,Fell in love when I saw you standing there,35
48,It must have been the way,35
49,But can you feel this magic in the air?,35
50,It must have been the way you kissed me,35
51,Fell in love when I saw you standing there,35
52,It must have been the way,35
53,Today was a fairytale,35
54,It must have been the way,35
55,Today was a fairytale,35
56,"Oh-oh, oh-oh, yeah",35
57,Oh-oh,35
58,Today was a fairytale,35
