line_number,lyric_text,song_id
1,Mr. perfect face,37
2,Mr. here to stay,37
3,Mr. looked me in the eye and told me you would never go away,37
4,Everything was right,37
5,Mr. I've been waiting for you all my life,37
6,Mr. every single day until the end I will be by your side,37
7,But that was when I got to know,37
8,Mr. change of heart,37
9,Mr. leaves me all alone,37
10,I fall apart,37
11,It takes everything in me just to get up each day,37
12,But it's wonderful to see that you're okay,37
13,"Hello, Mr. perfectly fine",37
14,How's your heart after breaking mine?,37
15,"Mr. always at the right place at the right time, baby",37
16,"Hello, Mr. casually cruel",37
17,Mr. everything revolves around you,37
18,I've been Miss misery since your goodbye,37
19,And you're Mr. perfectly fine,37
20,Mr. never told me why,37
21,Mr. never had to see me cry,37
22,Mr. insincere apology so he doesn't look like the bad guy,37
23,He goes about his day,37
24,Forgets he ever even heard my name,37
25,"Well, I thought you might be different than the rest",37
26,I guess you're all the same,37
27,Because I hear he's got his arm 'round a brand new girl,37
28,I've been picking up my heart,37
29,He's been picking up her,37
30,And I never got past what you put me through,37
31,But it's wonderful to see that it never phased you,37
32,"Hello, Mr. perfectly fine",37
33,How's your heart after breaking mine?,37
34,"Mr. always at the right place at the right time, baby",37
35,"Hello, Mr. casually cruel",37
36,Mr. everything revolves around you,37
37,I've been Miss misery since your goodbye,37
38,And you're Mr. perfectly fine,37
39,So dignified in your well pressed suits,37
40,So strategized,37
41,All the eyes on you,37
42,Sashay your way to your seat,37
43,It's the best seat,37
44,In the best room,37
45,"Oh, he's so smug",37
46,Mr. always wins,37
47,So far above me in every sense,37
48,So far above feeling anything,37
49,And it's really such a shame,37
50,It's such a shame,37
51,'Cause I was Miss here to stay,37
52,Now I'm Miss gonna be alright someday,37
53,And someday maybe you'll miss me,37
54,But by then you'll be Mr. too late,37
55,"Goodbye, Mr. perfectly fine",37
56,How's your heart after breaking mine?,37
57,"Mr. always at the right place at the right time, baby",37
58,"Goodbye, Mr. casually cruel",37
59,Mr. everything revolves around you,37
60,I've been Miss misery for the last time,37
61,And you're Mr. perfectly fine,37
62,You're perfectly fine,37
63,Mr. look me in the eye and tell me you would never go away,37
64,You said you'd never go away,37
