line_number,lyric_text,song_id
1,"You said, ""I know""",39
2,"When I said, ""I need some time, need some space",39
3,"To think about all of this""",39
4,And you watched me go,39
5,And I knew my words were hard to hear,39
6,And harder to ever take back,39
7,"And I said, ""When can I come back?""",39
8,And you said,39
9,"That's when, when I wake up in the morning",39
10,"That's when, when it's sunny or storming",39
11,"Laughing, when I'm crying",39
12,"And that's when, I'll be waiting at the front gate",39
13,"That's when, when I see your face",39
14,I'll let you in,39
15,"And, baby, that's when",39
16,"I said, ""I know""",39
17,"When you said, ""I did you wrong",39
18,"Made mistakes, and put you through all of this"" (Through all of this)",39
19,Then through the phone,39
20,Came all your tears,39
21,"And I said, ""Leave those all in our past""",39
22,"And you said, ""When can I come back?""",39
23,And I said,39
24,"That's when, when I wake up in the morning",39
25,"That's when, when it's sunny or storming",39
26,"Laughing, when I'm crying",39
27,"And that's when, I'll be waiting at the front gate",39
28,"That's when, when I see your face",39
29,I'll let you in,39
30,"And, baby, that's when",39
31,"And you said, ""Honestly",39
32,When you were gone,39
33,"Did you ever think of me?""",39
34,And I said,39
35,"That's when, when I woke up in the morning",39
36,"That's when, it was sunny or storming",39
37,"Laughing, when I was crying",39
38,"And that's when, you were waiting at the front gate",39
39,"That's when, when I saw your face",39
40,You let me in,39
41,"And, baby, that's when",39
42,When I'm laughing,39
43,When I'm crying,39
44,That's when I miss you,39
45,That's when I want you,39
46,That's when I love you,39
47,That's when,39
