line_number,lyric_text,song_id
1,Hey,40
2,I knew I'd run into you somewhere,40
3,"It's been a while, I didn't mean to stare",40
4,I heard she's nothing like me,40
5,I'm sure she'll make you happy,40
6,But don't you,40
7,Don't you smile at me and ask me how I've been,40
8,Don't you say you've missed me if you don't want me again,40
9,You don't know how much I feel I love you still,40
10,So why don't you,40
11,Don't you,40
12,Sometimes,40
13,I really wish that I could hate you,40
14,I've tried,40
15,But that's just something I can't do,40
16,My heart knows what the truth is,40
17,I swore I wouldn't do this,40
18,But don't you,40
19,Don't you smile at me and ask me how I've been,40
20,Don't you say you've missed me if you don't want me again,40
21,You don't know how much I feel I love you still,40
22,So why don't you,40
23,Don't you,40
24,So I'll walk out of here tonight,40
25,Try to go on with my life,40
26,And you can say we're still friends,40
27,But I don't want to pretend,40
28,So if I see you again,40
29,Don't you,40
30,Don't you smile at me and ask me how I've been,40
31,Don't you say you've missed me if you don't want me again,40
32,You don't know how much I feel I love you still,40
33,So why don't you,40
34,Don't you,40
35,Don't you,40
