line_number,lyric_text,song_id
1,Fever dream high in the quiet of the night,133
2,"You know that I caught it (Oh yeah, you're right, I want it)",133
3,"Bad, bad boy, shiny toy with a price",133
4,"You know that I bought it (Oh yeah, you're right, I want it)",133
5,"Killing me slow, out the window",133
6,I'm always waiting for you to be waiting below,133
7,"Devils roll the dice, angels roll their eyes",133
8,What doesn't kill me makes me want you more,133
9,"And it's new, the shape of your body, it's blue",133
10,"The feeling I got, and it's, ooh, whoa-oh",133
11,It's a cruel summer,133
12,"It's cool, that's what I tell 'em",133
13,"No rules in breakable heaven but, ooh, whoa-oh",133
14,It's a cruel summer with you,133
15,Hang your head low in the glow of the vending machine,133
16,"I'm not dying (Oh yeah, you're right, I want it)",133
17,Say that we'll just screw it up in these trying times,133
18,"We're not trying (Oh yeah, you're right, I want it)",133
19,"So cut the headlights, summer's a knife",133
20,I'm always waiting for you just to cut to the bone,133
21,"Devils roll the dice, angels roll their eyes",133
22,"And if I bleed, you'll be the last to know",133
23,"Oh, it's new, the shape of your body, it's blue",133
24,"The feeling I got, and it's, ooh, whoa-oh",133
25,It's a cruel summer,133
26,"It's cool, that's what I tell 'em",133
27,"No rules in breakable heaven but, ooh, whoa-oh",133
28,It's a cruel summer with you,133
29,I'm drunk in the back of the car,133
30,"And I cried like a baby coming home from the bar, oh",133
31,"Said, ""I'm fine,"" but it wasn't true",133
32,I don't wanna keep secrets just to keep you,133
33,And I snuck in through the garden gate,133
34,"Every night that summer just to seal my fate, oh",133
35,"And I scream, for whatever it's worth",133
36,"""I love you, ain't that the worst thing you ever heard?""",133
37,"He looks up, grinning like a devil",133
38,"It's new, the shape of your body, it's blue",133
39,"The feeling I got, and it's, ooh, whoa-oh",133
40,It's a cruel summer,133
41,"It's cool, that's what I tell 'em",133
42,"No rules in breakable heaven but, ooh, whoa-oh",133
43,It's a cruel summer with you,133
44,I'm drunk in the back of the car,133
45,"And I cried like a baby coming home from the bar, oh",133
46,"Said, ""I'm fine,"" but it wasn't true",133
47,I don't wanna keep secrets just to keep you,133
48,And I snuck in through the garden gate,133
49,"Every night that summer just to seal my fate, oh",133
50,"And I scream, for whatever it's worth",133
51,"""I love you, ain't that the worst thing you ever heard?""",133
52,"Yeah, yeah",133
53,"Yeah, yeah",133
