line_number,lyric_text,song_id
1,We could leave the Christmas lights up till January,134
2,"This is our place, we make the rules",134
3,"And there's a dazzling haze, a mysterious way about you, dear",134
4,Have I known you twenty seconds or twenty years?,134
5,Can I go where you go?,134
6,Can we always be this close?,134
7,Forever and ever,134
8,Take me out and take me home,134
9,"You're my, my, my, my...",134
10,Lover,134
11,We could let our friends crash in the living room,134
12,"This is our place, we make the call",134
13,And I'm highly suspicious that everyone who sees you wants you,134
14,"I've loved you three summers now honey, but I want them all",134
15,Can I go where you go?,134
16,Can we always be this close?,134
17,Forever and ever,134
18,Take me out and take me home (Forever and ever),134
19,"You're my, my, my, my...",134
20,Lover,134
21,"Ladies and gentlemen, will you please stand?",134
22,With every guitar string scar on my hand,134
23,I take this magnetic force of a man to be my,134
24,Lover,134
25,My heart's been borrowed and yours has been blue,134
26,All's well that ends well to end up with you,134
27,Swear to be overdramatic and true to my,134
28,Lover,134
29,And you'll save all your dirtiest jokes for me,134
30,"And at every table, I'll save you a seat",134
31,Lover,134
32,Can I go where you go?,134
33,Can we always be this close?,134
34,Forever and ever,134
35,Take me out and take me home (Forever and ever),134
36,"You're my, my, my, my",134
37,"Oh, you're my, my, my, my",134
38,"Darling, you're my, my, my, my...",134
39,Lover,134
