line_number,lyric_text,song_id
1,I would be complex,135
2,I would be cool,135
3,They'd say I played the field before I found someone to commit to,135
4,And that would be okay,135
5,For me to do,135
6,Every conquest I had made would make me more of a boss to you,135
7,I'd be a fearless leader,135
8,I'd be an alpha type,135
9,When everyone believes ya,135
10,What's that like?,135
11,I'm so sick of running as fast as I can,135
12,Wondering if I'd get there quicker if I was a man,135
13,And I'm so sick of them coming at me again,135
14,'Cause if I was a man,135
15,Then I'd be the man,135
16,I'd be the man,135
17,I'd be the man,135
18,They'd say I hustled,135
19,Put in the work,135
20,They wouldn't shake their heads and question how much of this I deserve,135
21,What I was wearing,135
22,If I was rude,135
23,Could all be separated from my good ideas and power moves,135
24,"And they would toast to me, oh",135
25,Let the players play,135
26,I'd be just like Leo in Saint-Tropez,135
27,I'm so sick of running as fast as I can,135
28,Wondering if I'd get there quicker if I was a man,135
29,And I'm so sick of them coming at me again,135
30,'Cause if I was a man,135
31,Then I'd be the man,135
32,I'd be the man,135
33,I'd be the man,135
34,What's it like to brag about raking in dollars,135
35,And getting bitches and models?,135
36,And it's all good if you're bad,135
37,And it's okay if you're mad,135
38,If I was out flashing my dollars,135
39,"I'd be a bitch, not a baller",135
40,They paint me out to be bad,135
41,So it's okay that I'm mad,135
42,I'm so sick of running as fast as I can,135
43,Wondering if I'd get there quicker if I was a man (You know that),135
44,And I'm so sick of them coming at me again (Coming at me again),135
45,'Cause if I was a man (If I was a man),135
46,Then I'd be the man (Then I'd be the man),135
47,I'm so sick of running as fast as I can (As fast as I can),135
48,Wondering if I'd get there quicker if I was a man (Hey!),135
49,And I'm so sick of them coming at me again (Coming at me again),135
50,'Cause if I was a man (If I was a man),135
51,Then I'd be the man,135
52,I'd be the man,135
53,I'd be the man (Oh),135
54,I'd be the man (Yeah),135
55,I'd be the man,135
56,"I'd be the man (If I was a man, I'd be the man)",135
