line_number,lyric_text,song_id
1,I think he knows his footprints on the sidewalk,137
2,"Lead to where I can't stop, go there every night",137
3,I think he knows his hands around a cold glass,137
4,Make me wanna know that body like it's mine,137
5,He got that boyish look that I like in a man,137
6,"I am an architect, I'm drawing up the plans",137
7,"It's like I'm seventeen, nobody understands",137
8,No one understands,137
9,He got my heartbeat,137
10,Skipping down 16th avenue,137
11,"Got that, uhh, I mean",137
12,Wanna see what's under that attitude,137
13,"Like, I want you, bless my soul",137
14,"And I ain't gotta tell him, I think he knows",137
15,I think he knows,137
16,I think he knows when we get all alone,137
17,I'll make myself at home and he'll want me to stay,137
18,I think he knows he better lock it down,137
19,Or I won't stick around 'cause good ones never wait (Ha),137
20,He got that boyish look that I like in a man,137
21,"I am an architect, I'm drawing up the plans",137
22,"He's so obsessed with me and, boy, I understand",137
23,"Boy, I understand",137
24,He got my heartbeat (Heartbeat),137
25,Skipping down 16th avenue,137
26,"Got that, uhh, I mean (I mean)",137
27,Wanna see what's under that attitude,137
28,"Like, I want you, bless my soul",137
29,"And I ain't gotta tell him, I think he knows",137
30,I think he knows,137
31,"I want you, bless my",137
32,"I want you, bless my",137
33,"I want you, bless my",137
34,"I want you, bless my soul",137
35,"Lyrical smile, indigo eyes, hand on my thigh",137
36,"We could follow the sparks, I'll drive",137
37,"Lyrical smile, indigo eyes, hand on my thigh",137
38,"We could follow the sparks, I'll drive",137
39,So where we gonna go?,137
40,I whisper in the dark,137
41,Where we gonna go?,137
42,I think he knows!,137
43,He got my heartbeat (Heartbeat),137
44,Skipping down 16th avenue,137
45,"Got that, uhh, I mean (I mean)",137
46,Wanna see what's under that attitude,137
47,"Like, I want you, bless my soul",137
48,"And I ain't gotta tell him, I think he knows",137
49,I think he knows,137
50,"I want you, bless my",137
51,"I want you, bless my soul",137
52,"I want you, bless my",137
53,"I want you, bless my soul",137
54,"I want you, bless my",137
55,"I want you, bless my soul",137
56,"I want you, bless my soul",137
57,"I ain't gotta tell him, I think he knows",137
