line_number,lyric_text,song_id
1,"The moon is high, like your friends were the night that we first met",139
2,Went home and tried to stalk you on the internet,139
3,Now I've read all of the books beside your bed,139
4,"The wine is cold, like the shoulder that I gave you in the street",139
5,Cat and mouse for a month or two or three,139
6,Now I wake up in the night and watch you breathe,139
7,(Aye!) Kiss me once 'cause you know I had a long night,139
8,(Oh!) Kiss me twice 'cause it's gonna be alright,139
9,(Ugh!) Three times 'cause I waited my whole life,139
10,"One, two, one, two, three, four!",139
11,"I like shiny things but I'd marry you with paper rings, uh-huh",139
12,"That's right, darlin', you're the one I want",139
13,I hate accidents except when we went from friends to this,139
14,"Uh-huh, that's right, darling",139
15,You're the one I want,139
16,Paper rings,139
17,In picture frames,139
18,In dirty dreams,139
19,"Oh-oh, you're the one I want",139
20,"In the winter, in the icy outdoor pool",139
21,"When you jumped in first, I went in too",139
22,(I'm with you) Even if it makes me blue,139
23,Which takes me back to the color that we painted your brother's wall,139
24,"Honey, without all the exes, fights, and flaws",139
25,We wouldn't be standing here so tall,139
26,(Aye!) So kiss you once 'cause I know you had a long night,139
27,(Oh!) Kiss you twice 'cause it's gonna be alright,139
28,(Ugh!) Three times 'cause you waited your whole life,139
29,"One, two, one, two, three, four!",139
30,"I like shiny things but I'd marry you with paper rings, uh-huh",139
31,"That's right, darling, you're the one I want",139
32,And I hate accidents except when we went from friends to this,139
33,"Uh-huh, that's right, darlin'",139
34,You're the one I want,139
35,Paper rings,139
36,In picture frames,139
37,In dirty dreams,139
38,"Oh-oh, you're the one I want",139
39,I want to drive away with you,139
40,I want your complications too,139
41,I want your dreary Mondays,139
42,"Wrap your arms around me, baby boy",139
43,I want to drive away with you,139
44,I want your complications too,139
45,I want your dreary Mondays,139
46,"Wrap your arms around me, baby boy",139
47,Uh-huh,139
48,I like shiny things but I'd marry you with paper rings,139
49,"Uh-huh, that's right, you're the one I want",139
50,I hate accidents except when we went from friends to this,139
51,"Uh-huh, darlin'",139
52,You're the one I want,139
53,I like shiny things but I'd marry you with paper rings,139
54,"Uh-huh, that's right, darling, you're the one I want",139
55,And I hate accidents except when we went from friends to this,139
56,"Uh-huh, that's right",139
57,"Darlin', you're the one I want",139
58,Paper rings,139
59,In picture frames,139
60,In all my dreams,139
61,You're the one I want,139
62,Paper rings,139
63,In picture frames,139
64,"In all my dreams, oh-oh",139
65,You're the one I want,139
66,You're the one I want,139
67,You're the one I want,139
