line_number,lyric_text,song_id
1,"We were in the backseat, drunk on something stronger than the drinks in the bar",140
2,"""I rent a place on Cornelia Street"", I say casually in the car",140
3,"We were a fresh page on the desk, filling in the blanks as we go",140
4,"As if the streetlights pointed in an arrowhead, leading us home",140
5,"And I hope I never lose you, hope it never ends",140
6,I'd never walk Cornelia Street again,140
7,That's the kind of heartbreak time could never mend,140
8,I'd never walk Cornelia Street again,140
9,"And baby, I get mystified by how this city screams your name",140
10,"And baby, I'm so terrified of if you ever walk away",140
11,I'd never walk Cornelia Street again,140
12,I'd never walk Cornelia Street again,140
13,"Windows flung right open, autumn air, jacket 'round my shoulders is yours",140
14,"We bless the rains on Cornelia Street, memorize the creaks in the floor",140
15,"Back when we were card sharks, playing games, I thought you were leading me on",140
16,"I packed my bags, left Cornelia Street, before you even knew I was gone",140
17,"But then you called, showed your hand",140
18,I turned around before I hit the tunnel,140
19,"Sat on the roof, you and I",140
20,"I hope I never lose you, hope it never ends",140
21,I'd never walk Cornelia Street again,140
22,That's the kind of heartbreak time could never mend,140
23,I'd never walk Cornelia Street again,140
24,"And baby, I get mystified by how this city screams your name",140
25,"And baby, I'm so terrified of if you ever walk away",140
26,I'd never walk Cornelia Street again,140
27,I'd never walk Cornelia Street again,140
28,You hold my hand on the street,140
29,Walk me back to that apartment,140
30,Years ago we were just inside,140
31,Barefoot in the kitchen,140
32,"Sacred, new beginnings",140
33,"That became my religion, listen",140
34,I hope I never lose you,140
35,I'd never walk Cornelia Street again,140
36,"Oh, never again",140
37,"And baby, I get mystified by how this city screams your name",140
38,"And baby, I'm so terrified of if you ever walk away",140
39,I'd never walk Cornelia Street again,140
40,I'd never walk Cornelia Street again,140
41,I don't wanna lose you (Hope it never ends),140
42,Never walk Cornelia Street,140
43,I don't wanna lose you,140
44,"""I rent a place on Cornelia Street"", I say casually in the car",140
