line_number,lyric_text,song_id
1,"I love my home town, as much as Motown, I love So-Cal",142
2,"And you know I love Springsteen, faded blue jeans, Tennessee whiskey",142
3,"But something happened, I heard him laughing",142
4,I saw the dimples first and then I heard the accent,142
5,They say home is where the heart is,142
6,But that's not where mine lives,142
7,"You know I love a London boy, I enjoy walking Camden Market in the afternoon",142
8,"He likes my American smile, like a child when our eyes meet, darling, I fancy you",142
9,"Took me back to Highgate, met all of his best mates, so I guess all the rumors are true",142
10,"You know I love a London boy, boy, I fancy you",142
11,"And now I love high tea, stories from Uni, and the West End",142
12,"You can find me in the pub we are watching rugby, with his school friends",142
13,"Show me a grey sky, a rainy cab ride",142
14,"""Babes, don't threaten me with a good time""",142
15,They say home is where the heart is,142
16,"But God, I love the English",142
17,"You know I love a London boy, I enjoy nights in Brixton, Shoreditch in the afternoon",142
18,"He likes my American smile, like a child when our eyes meet, darling, I fancy you",142
19,"Took me back to Highgate, met all of his best mates, so I guess all the rumors are true",142
20,"You know I love a London boy, boy, I fancy you",142
21,"So please show me Hackney, doesn't have to be Louis V up on Bond Street",142
22,"Stick with me, I'm your queen",142
23,"Like a Tennessee Stella McCartney, on the Heath",142
24,"Just wanna be with you, wanna be with you",142
25,Wanna be with you,142
26,"You know I love a London boy, I enjoy walking' SoHo, drinking in the afternoon",142
27,"He likes my American smile, like a child when our eyes meet, darling, I fancy you",142
28,"Took me back to Highgate, met all of his best mates, so I guess all the rumors are true",142
29,"You know I love a London boy, boy, I fancy you",142
30,I fancy you,142
31,Please show me Hackney,142
32,Doesn't have to be Louis V up on Bond Street,142
33,Just wanna be with you,142
34,"Oh I, I fancy you",142
35,"Stick with me, I'm your queen",142
36,"Like a Tennessee Stella McCartney, on the Heath",142
37,"Just wanna be with you, wanna be with you",142
38,"I fancy you, fancy you, oh",142
