line_number,lyric_text,song_id
1,The buttons of my coat were tangled in my hair,143
2,"In doctor's office lighting, I didn't tell you I was scared",143
3,That was the first time we were there,143
4,"Holy orange bottles, each night I pray to you",143
5,"Desperate people find faith, so now I pray to Jesus too",143
6,And I say to you,143
7,"Ooh-ah, soon you'll get better",143
8,"Ooh-ah, soon you'll get better",143
9,"Ooh-ah, you'll get better soon",143
10,'Cause you have to,143
11,I know delusion when I see it in the mirror,143
12,"You like the nicer nurses, you make the best of a bad deal",143
13,I just pretend it isn't real,143
14,"I'll paint the kitchen neon, I'll brighten up the sky",143
15,"I know I'll never get it, there's not a day that I won't try",143
16,And I say to you,143
17,"Ooh-ah, soon you'll get better",143
18,"Ooh-ah, soon you'll get better",143
19,"Ooh-ah, you'll get better soon",143
20,'Cause you have to,143
21,And I hate to make this all about me,143
22,But who am I supposed to talk to?,143
23,What am I supposed to do?,143
24,If there's no you,143
25,"This won't go back to normal, if it ever was",143
26,It's been years of hoping and I keep saying it because,143
27,'Cause I have to,143
28,"Ooh-ah, you'll get better",143
29,"Ooh-ah, soon you'll get better",143
30,"Ooh-ah, you'll get better, soon",143
31,"Ooh-ah, soon you'll get better",143
32,"Ooh-ah, soon you'll get better",143
33,"Ooh-ah, you'll get better soon",143
34,'Cause you have to,143
