line_number,lyric_text,song_id
1,You are somebody that I don't know,145
2,But you're taking shots at me like it's Patrón,145
3,"And I'm just like, ""Damn, it's 7:00 a.m.""",145
4,"Say it in the street, that's a knock-out",145
5,"But you say it in a tweet, that's a cop-out",145
6,"And I'm just like, ""Hey, are you okay?""",145
7,And I ain't trying to mess with your self-expression,145
8,But I've learned the lesson,145
9,That stressin' and obsessin',145
10,'Bout somebody else is no fun,145
11,And snakes and stones never broke my bones,145
12,"So, oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",145
13,You need to calm down,145
14,You're being too loud,145
15,And I'm just like,145
16,"Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",145
17,You need to just stop,145
18,"Like, can you just not step on my gown?",145
19,You need to calm down,145
20,You are somebody that we don't know,145
21,But you're coming at my friends like a missile,145
22,"Why are you mad, when you could be GLAAD? (You could be GLAAD)",145
23,Sunshine on the street at the parade,145
24,But you would rather be in the dark ages,145
25,"Making that sign, must've taken all night",145
26,You just need to take several seats,145
27,And then try to restore the peace,145
28,And control your urges to scream,145
29,About all the people you hate,145
30,'Cause shade never made anybody less gay,145
31,"So, oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",145
32,You need to calm down,145
33,You're being too loud,145
34,And I'm just like,145
35,"Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",145
36,You need to just stop,145
37,"Like, can you just not step on his gown?",145
38,You need to calm down,145
39,And we see you over there on the internet,145
40,Comparing all the girls who are killin' it,145
41,But we ﬁgured you out,145
42,We all know now,145
43,"We all got crowns, so you need to calm down",145
44,"Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",145
45,You need to calm down (You need to calm down),145
46,You're being too loud (You're being too loud),145
47,And I'm just like,145
48,"Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",145
49,You need to just stop,145
50,Can you stop?,145
51,"Like, can you just not step on our gowns?",145
52,You need to calm down,145
