line_number,lyric_text,song_id
1,"I blew things out of proportion, now you're blue",146
2,Put you in jail for something you didn't do,146
3,"I pinned your hands behind your back, oh",146
4,"Thought I had reason to attack, but no",146
5,Fighting with a true love is boxing with no gloves,146
6,"Chemistry till it blows up, till there's no us",146
7,Why'd I have to break what I love so much?,146
8,"It's on your face, and I'm to blame, I need to say",146
9,"Hey, it's all me, in my head",146
10,I'm the one who burned us down,146
11,But it's not what I meant,146
12,Sorry that I hurt you,146
13,"I don't wanna do, I don't wanna do this to you",146
14,"I don't wanna lose, I don't wanna lose this with you",146
15,"I need to say, hey, it's all me, just don't go",146
16,Meet me in the afterglow,146
17,It's so excruciating to see you low,146
18,Just wanna lift you up and not let you go,146
19,This ultraviolet morning light below,146
20,"Tells me this love is worth the fight, oh",146
21,"I lived like an island, punished you with silence",146
22,"Went off like sirens, just cryin'",146
23,Why'd I have to break what I love so much?,146
24,"It's on your face, don't walk away, I need to say",146
25,"Hey, it's all me, in my head",146
26,I'm the one who burned us down,146
27,But it's not what I meant,146
28,I'm sorry that I hurt you,146
29,"I don't wanna do, I don't wanna do this to you",146
30,"I don't wanna lose, I don't wanna lose this with you",146
31,"I need to say, hey, it's all me, just don't go",146
32,Meet me in the afterglow,146
33,Tell me that you're still mine,146
34,Tell me that we'll be just fine,146
35,Even when I lose my mind,146
36,I need to say,146
37,Tell me that it's not my fault,146
38,Tell me that I'm all you want,146
39,Even when I break your heart,146
40,I need to say,146
41,"Hey, it's all me, in my head",146
42,I'm the one who burned us down,146
43,But it's not what I meant,146
44,Sorry that I hurt you,146
45,"I don't wanna do, I don't wanna do this to you",146
46,"I don't wanna lose, I don't wanna lose this with you",146
47,"I need to say, hey, it's all me, just don't go",146
48,Meet me in the afterglow,146
