line_number,lyric_text,song_id
1,I promise that you'll never find another like me,147
2,"I know that I'm a handful, baby, uh",147
3,I know I never think before I jump,147
4,And you're the kind of guy the ladies want,147
5,And there's a lot of cool chicks out there,147
6,I know that I went psycho on the phone,147
7,I never leave well enough alone,147
8,And trouble's gonna follow where I go,147
9,And there's a lot of cool chicks out there,147
10,But one of these things is not like the others,147
11,Like a rainbow with all of the colors,147
12,"Baby doll, when it comes to a lover",147
13,I promise that you'll never find another like,147
14,Me-e-e,147
15,"Ooh, ooh, ooh, ooh, ooh",147
16,I'm the only one of me,147
17,"Baby, that's the fun of me",147
18,Eeh-eeh-eeh,147
19,"Ooh, ooh, ooh, ooh, ooh",147
20,You're the only one of you,147
21,"Baby, that's the fun of you",147
22,And I promise that nobody's gonna love you like,147
23,Me-e-e,147
24,I know I tend to make it about me,147
25,I know you never get just what you see,147
26,"But I will never bore you, baby",147
27,And there's a lot of lame guys out there,147
28,And when we had that fight out in the rain,147
29,You ran after me and called my name,147
30,I never wanna see you walk away,147
31,And there's a lot of lame guys out there,147
32,'Cause one of these things is not like the others,147
33,"Living in winter, I am your summer",147
34,"Baby doll, when it comes to a lover",147
35,I promise that you'll never find another like,147
36,Me-e-e,147
37,"Ooh, ooh, ooh, ooh, ooh",147
38,I'm the only one of me,147
39,Let me keep you company,147
40,Eeh-eeh-eeh,147
41,"Ooh, ooh, ooh, ooh, ooh",147
42,You're the only one of you,147
43,"Baby, that's the fun of you",147
44,And I promise that nobody's gonna love you like,147
45,Me-e-e,147
46,"Girl, there ain't no ""I"" in ""team""",147
47,"But you know there is a ""me""",147
48,"Strike the band up, one, two, three",147
49,I promise that you'll never find another like me,147
50,"Girl, there ain't no ""I"" in ""team""",147
51,"But you know there is a ""me""",147
52,"And you can't spell ""awesome"" without ""me""",147
53,I promise that you'll never find another like,147
54,Me-e-e (Yeah),147
55,"Ooh, ooh, ooh, ooh, ooh (And I want you, baby)",147
56,I'm the only one of me (I'm the only one of me),147
57,"Baby, that's the fun of me (Baby, that's the fun of me)",147
58,Eeh-eeh-eeh,147
59,"Ooh, ooh, ooh, ooh, ooh (Oh)",147
60,You're the only one of you (Oh),147
61,"Baby, that's the fun of you",147
62,And I promise that nobody's gonna love you like,147
63,Me-e-e,147
64,"Girl, there ain't no ""I"" in ""team""",147
65,"But you know there is a ""me""",147
66,I'm the only one of me,147
67,"Baby, that's the fun of me",147
68,Eeh-eeh-eeh,147
69,"Strike the band up, one, two, three",147
70,"You can't spell ""awesome"" without ""me""",147
71,"You're the only one of you (Yeah, yeah)",147
72,"Baby, that's the fun of you",147
73,And I promise that nobody's gonna love you like,147
74,Me-e-e,147
