line_number,lyric_text,song_id
1,"School bell rings, walk me home",148
2,Sidewalk chalk covered in snow,148
3,"Lost my gloves, you give me one",148
4,"Wanna hang out? Yeah, sounds like fun",148
5,"Video games, you pass me a note",148
6,Sleeping in tents,148
7,It's nice to have a friend,148
8,It's nice to have a friend,148
9,"Light-pink sky, up on the roof",148
10,"Sun sinks down, no curfew",148
11,"20 questions, we tell the truth",148
12,"You've been stressed out lately, yeah, me too",148
13,Something gave you the nerve,148
14,To touch my hand,148
15,It's nice to have a friend,148
16,It's nice to have a friend,148
17,"Church bells ring, carry me home",148
18,Rice on the ground looks like snow,148
19,"Call my bluff, call you ""Babe""",148
20,"Have my back, yeah, every day",148
21,"Feels like home, stay in bed",148
22,The whole weekend,148
23,It's nice to have a friend,148
24,It's nice to have a friend,148
25,It's nice to have a friend,148
