line_number,lyric_text,song_id
1,Meet me at midnight,184
2,Staring at the ceiling with you,184
3,"Oh, you don't ever say too much",184
4,And you don't really read into,184
5,My melancholia,184
6,"I been under scrutiny (Yeah, oh yeah)",184
7,"You handle it beautifully (Yeah, oh yeah)",184
8,"All this shit is new to me (Yeah, oh yeah)",184
9,I feel the lavender haze creeping up on me,184
10,Surreal,184
11,I'm damned if I do give a damn what people say,184
12,No deal,184
13,The 1950's shit they want from me,184
14,I just wanna stay in that lavender haze,184
15,All they keep asking me (All they keep asking me),184
16,Is if I'm gonna be your bride?,184
17,The only kinda girl they see (Only kinda girl they see),184
18,Is a one night or a wife,184
19,"I find it dizzying (Yeah, oh yeah)",184
20,"They're bringing up my history (Yeah, oh yeah)",184
21,"But you weren't even listening (Yeah, oh yeah)",184
22,I feel the lavender haze creeping up on me,184
23,Surreal,184
24,I'm damned if I do give a damn what people say,184
25,No deal,184
26,The 1950's shit they want from me,184
27,I just wanna stay in that lavender haze,184
28,That lavender haze,184
29,Talk your talk and go viral,184
30,I just need this love spiral,184
31,Get it off your chest,184
32,Get it off my desk (Get it off my desk),184
33,Talk your talk and go viral,184
34,I just need this love spiral,184
35,Get it off your chest,184
36,Get it off my desk,184
37,I feel the lavender haze creeping up on me (I feel),184
38,Surreal,184
39,I'm damned if I do give a damn what people say,184
40,No deal (No deal),184
41,The 1950's shit they want from me,184
42,I just wanna stay in that lavender haze,184
43,Get it off your chest,184
44,Get it off my desk,184
45,That lavender haze,184
46,I just wanna stay,184
47,I just wanna stay in that lavender haze,184
