line_number,lyric_text,song_id
1,"I have this thing where I get older, but just never wiser",186
2,Midnights become my afternoons,186
3,When my depression works the graveyard shift,186
4,All of the people I've ghosted stand there in the room,186
5,I should not be left to my own devices,186
6,"They come with prices and vices, I end up in crisis",186
7,Tale as old as time,186
8,I wake up screaming from dreaming,186
9,"One day, I'll watch as you're leaving",186
10,'Cause you got tired of my scheming,186
11,For the last time,186
12,"It's me, hi",186
13,"I'm the problem, it's me",186
14,"At teatime, everybody agrees",186
15,"I'll stare directly at the sun, but never in the mirror",186
16,It must be exhausting always rooting for the anti-hero,186
17,Sometimes I feel like everybody is a sexy baby,186
18,And I'm a monster on the hill,186
19,"Too big to hang out, slowly lurching toward your favorite city",186
20,Pierced through the heart but never killed,186
21,Did you hear my covert narcissism,186
22,I disguise as altruism like some kind of congressman?,186
23,Tale as old as time,186
24,I wake up screaming from dreaming,186
25,"One day, I'll watch as you're leaving and life will lose all its meaning",186
26,For the last time,186
27,"It's me, hi",186
28,"I'm the problem, it's me (I'm the problem, it's me)",186
29,"At teatime, everybody agrees",186
30,"I'll stare directly at the sun, but never in the mirror",186
31,It must be exhausting always rooting for the anti-hero,186
32,I have this dream my daughter-in-law kills me for the money,186
33,She thinks I left them in the will,186
34,The family gathers 'round and reads it,186
35,And then someone screams out,186
36,"""She's laughing up at us from Hell!""",186
37,"It's me, hi",186
38,"I'm the problem, it's me",186
39,"It's me, hi",186
40,"I'm the problem, it's me",186
41,"It's me, hi",186
42,Everybody agrees,186
43,Everybody agrees,186
44,"It's me, hi (Hi)",186
45,"I'm the problem, it's me (I'm the problem, it's me)",186
46,"At teatime, everybody agrees (Teatime, everybody agrees)",186
47,"I'll stare directly at the sun, but never in the mirror",186
48,It must be exhausting always rooting for the anti-hero,186
