line_number,lyric_text,song_id
1,Rain,189
2,"He wanted it comfortable, I wanted that pain",189
3,"He wanted a bride, I was making my own name",189
4,"Chasing that fame, he stayed the same",189
5,All of me changed like midnight,189
6,My town was a wasteland,189
7,"Full of cages, full of fences",189
8,Pageant queens and big pretenders,189
9,"But for some, it was paradise",189
10,My boy was a montage,189
11,"A slow-motion, love potion",189
12,Jumping off things in the ocean,189
13,I broke his heart 'cause he was nice,189
14,"He was sunshine, I was midnight rain",189
15,"He wanted it comfortable, I wanted that pain",189
16,"He wanted a bride, I was making my own name",189
17,"Chasing that fame, he stayed the same",189
18,All of me changed like midnight,189
19,It came like a postcard,189
20,"Picture-perfect, shiny family",189
21,Holiday peppermint candy,189
22,"But for him, it's every day",189
23,So I peered through a window,189
24,"A deep portal, time travel",189
25,All the love we unravel,189
26,And the life I gave away,189
27,"'Cause he was sunshine, I was midnight rain",189
28,"He wanted it comfortable, I wanted that pain",189
29,"He wanted a bride, I was making my own name",189
30,"Chasing that fame, he stayed the same",189
31,All of me changed like midnight,189
32,Rain,189
33,"He wanted it comfortable, I wanted that pain",189
34,"He wanted a bride, I was making my own name",189
35,"Chasing that fame, he stayed the same",189
36,All of me changed like midnight,189
37,I guess sometimes we all get,189
38,"Just what we wanted, just what we wanted",189
39,And he never thinks of me,189
40,Except for when I'm on TV,189
41,I guess sometimes we all get,189
42,"Some kind of haunted, some kind of haunted",189
43,And I never think of him,189
44,Except on midnights like this (Midnights like this),189
45,Midnights like this,189
