line_number,lyric_text,song_id
1,Draw the cat eye sharp enough to kill a man,191
2,"You did some bad things, but I'm the worst of them",191
3,Sometimes I wonder which one will be your last lie,191
4,They say looks can kill and I might try,191
5,I don't dress for women,191
6,I don't dress for men,191
7,"Lately, I've been dressing for revenge",191
8,"I don't start shit, but I can tell you how it ends",191
9,"Don't get sad, get even",191
10,So on the weekends,191
11,I don't dress for friends,191
12,"Lately, I've been dressing for revenge",191
13,"She needed cold hard proof, so I gave her some",191
14,"She had the envelope, where you think she got it from?",191
15,"Now she gets the house, gets the kids, gets the pride",191
16,Picture me thick as thieves with your ex-wife,191
17,And she looks so pretty,191
18,Driving in your Benz,191
19,"Lately, she's been dressing for revenge",191
20,"She don't start shit, but she can tell you how it ends",191
21,"Don't get sad, get even",191
22,So on the weekends,191
23,She don't dress for friends,191
24,"Lately, she's been dressing for revenge",191
25,Ladies always rise above,191
26,Ladies know what people want,191
27,Someone sweet and kind and fun,191
28,The lady simply had enough,191
29,While he was doing lines,191
30,And crossing all of mine,191
31,Someone told his white-collar crimes to the FBI,191
32,And I don't dress for villains,191
33,Or for innocents,191
34,I'm on my vigilante shit again,191
35,"I don't start shit, but I can tell you how it ends",191
36,"Don't get sad, get even",191
37,So on the weekends,191
38,I don't dress for friends,191
39,"Lately, I've been dressing for revenge",191
