line_number,lyric_text,song_id
1,"Baby love, I think I've been a little too kind",192
2,Didn't notice you walking all over my peace of mind,192
3,"In the shoes, I gave you as a present",192
4,Putting someone first only works when you're in their top five,192
5,And by the way,192
6,I'm going out tonight,192
7,Best believe I'm still bejeweled,192
8,When I walk in the room,192
9,I can still make the whole place shimmer,192
10,And when I meet the band,192
11,"They ask, ""Do you have a man?""",192
12,"I could still say, ""I don't remember""",192
13,Familiarity breeds contempt,192
14,Don't put me in the basement,192
15,When I want the penthouse of your heart,192
16,Diamonds in my eyes,192
17,I polish up real,192
18,I polish up real nice,192
19,Nice!,192
20,"Baby boy, I think I've been too good of a girl",192
21,Too good of a girl,192
22,"Did all the extra credit, then got graded on a curve",192
23,I think it's time to teach some lessons,192
24,I made you my world,192
25,Have you heard?,192
26,I can reclaim the land,192
27,And I miss you,192
28,But I miss sparkling,192
29,Nice!,192
30,Best believe I'm still bejeweled,192
31,When I walk in the room,192
32,I can still make the whole place shimmer,192
33,And when I meet the band,192
34,"They ask, ""Do you have a man?""",192
35,"I could still say, ""I don't remember""",192
36,Familiarity breeds contempt,192
37,Don't put me in the basement,192
38,When I want the penthouse of your heart,192
39,Diamonds in my eyes,192
40,I polish up real,192
41,I polish up real nice,192
42,Nice!,192
43,Sapphire tears on my face,192
44,Sadness became my whole sky,192
45,But some guy said my aura's moonstone,192
46,Just 'cause he was high,192
47,And we're dancing all night,192
48,And you can try,192
49,To change my mind,192
50,But you might have to wait in line,192
51,What's a girl gonna do?,192
52,A diamond's gotta shine,192
53,Best believe I'm still bejeweled,192
54,When I walk in the room,192
55,I can still make the whole place shimmer (Shimmer),192
56,And when I meet the band,192
57,"They ask, ""Do you have a man?""",192
58,"I could still say, ""I don't remember""",192
59,Familiarity breeds contempt,192
60,Don't put me in the basement,192
61,When I want the penthouse of your heart,192
62,Diamonds in my eyes,192
63,I polish up real,192
64,Nice,192
65,I polish up real nice,192
66,And we're dancing all night,192
67,And you can try,192
68,To change my mind,192
69,But you might have to wait in line,192
70,What's a girl gonna do?,192
71,What's a girl gonna do?,192
72,I polish up nice,192
73,Best believe I'm still bejeweled,192
74,When I walk in the room,192
75,I can still make the whole place shimmer,192
