line_number,lyric_text,song_id
1,It only hurts this much right now,193
2,Was what I was thinking the whole time,193
3,"Breathe in, breathe through, breathe deep, breathe out",193
4,I'll be getting over you my whole life,193
5,You know how scared I am of elevators,193
6,Never trust it if it rises fast,193
7,It can't last,193
8,"Uh-oh, I'm falling in love",193
9,"Oh no, I'm falling in love again",193
10,"Oh, I'm falling in love",193
11,I thought the plane was going down,193
12,How'd you turn it right around?,193
13,It only feels this raw right now,193
14,Lost in the labyrinth of my mind,193
15,"Break up, break free, break through, break down",193
16,You would break your back to make me break a smile,193
17,You know how much I hate,193
18,That everybody just expects me to bounce back,193
19,Just like that,193
20,"Uh-oh, I'm falling in love",193
21,"Oh no, I'm falling in love again",193
22,"Oh, I'm falling in love",193
23,I thought the plane was going down,193
24,How'd you turn it right around?,193
25,"Uh-oh, I'm falling in love",193
26,"Oh no, I'm falling in love again",193
27,"Oh, I'm falling in love",193
28,I thought the plane was going down,193
29,How'd you turn it right around?,193
30,"Uh-oh, I'm falling in love",193
31,"Oh no, I'm falling in love again",193
32,"Oh, I'm falling in love",193
33,I thought the plane was going down,193
34,How'd you turn it right around?,193
35,"Uh oh, I'm falling in love",193
36,"Oh no, I'm falling in love again",193
37,"Oh, I'm falling in love",193
38,I thought the plane was going down,193
39,How'd you turn it right around?,193
