line_number,lyric_text,song_id
1,You're talking shit,194
2,For the hell of it,194
3,Addicted to betrayal but you're relevant,194
4,You're terrified to look down,194
5,'Cause if you dare,194
6,You'll see the glare,194
7,Of everyone you burned just to get there,194
8,It's coming back around,194
9,And I keep my side of the street clean,194
10,You wouldn't know what I mean,194
11,'Cause karma is my boyfriend,194
12,Karma is a god,194
13,Karma is the breeze in my hair on the weekend,194
14,Karma's a relaxing thought,194
15,Aren't you envious that for you it's not?,194
16,Sweet like honey,194
17,Karma is a cat,194
18,Purring in my lap 'cause it loves me,194
19,Flexing like a goddamn acrobat,194
20,Me and karma vibe like that,194
21,"Spiderboy, king of thieves",194
22,Weave your little webs of opacity,194
23,My pennies made your crown,194
24,Trick me once,194
25,Trick me twice,194
26,Don't you know that cash ain't the only price?,194
27,It's coming back around,194
28,And I keep my side of the street clean,194
29,You wouldn't know what I mean,194
30,'Cause karma is my boyfriend,194
31,Karma is a god,194
32,Karma is the breeze in my hair on the weekend,194
33,Karma's a relaxing thought,194
34,Aren't you envious that for you it's not?,194
35,Sweet like honey,194
36,Karma is a cat,194
37,Purring in my lap 'cause it loves me,194
38,Flexing like a goddamn acrobat,194
39,Me and karma vibe like that,194
40,Ask me what I learned from all those years,194
41,Ask me what I earned from all those tears,194
42,Ask me why so many fade but I'm still here,194
43,'Cause karma is the thunder,194
44,Rattling your ground,194
45,Karma's on your scent like a bounty hunter,194
46,Karma's gonna track you down,194
47,"Step by step, from town to town",194
48,Sweet like justice,194
49,Karma is a queen,194
50,Karma takes all my friends to the summit,194
51,"Karma is the guy on the screen, coming straight home to me",194
52,'Cause karma is my boyfriend,194
53,Karma is a god,194
54,Karma is the breeze in my hair on the weekend,194
55,Karma's a relaxing thought,194
56,Aren't you envious that for you it's not?,194
57,Sweet like honey,194
58,Karma is a cat,194
59,Purring in my lap 'cause it loves me,194
60,Flexing like a goddamn acrobat,194
61,Me and karma vibe like that,194
62,Karma is my boyfriend,194
63,Karma is a god,194
64,Karma's a relaxing thought,194
