line_number,lyric_text,song_id
1,No words appear before me in the aftermath,198
2,Salt streams out my eyes and into my ears,198
3,Every single thing I touch becomes sick with sadness,198
4,'Cause it's all over now,198
5,All out to sea,198
6,"Goodbye, goodbye, goodbye",198
7,You were bigger than the whole sky,198
8,You were more than just a short time,198
9,And I've got a lot to pine about,198
10,I've got a lot to live without,198
11,I'm never gonna meet,198
12,"What could've been, would've been",198
13,What should've been you,198
14,"What could've been, would've been you",198
15,Did some bird flap its wings over in Asia?,198
16,Did some force take you because I didn't pray?,198
17,Every single thing to come has turned into ashes,198
18,"'Cause it's all over, it's",198
19,Not meant to be,198
20,So I'll say words I don't believe,198
21,"Goodbye, goodbye, goodbye",198
22,You were bigger than the whole sky,198
23,You were more than just a short time,198
24,And I've got a lot to pine about,198
25,I've got a lot to live without,198
26,I'm never gonna meet,198
27,"What could've been, would've been",198
28,What should've been you,198
29,"What could've been, would've been you",198
30,"What could've been, would've been",198
31,What should've been you,198
32,"What could've been, would've been you",198
33,"Goodbye, goodbye, goodbye",198
34,You were bigger than the whole sky,198
35,You were more than just a short time,198
36,And I've got a lot to pine about,198
37,I've got a lot to live without,198
38,I'm never gonna meet,198
39,"What could've been, would've been",198
40,What should've been you,198
