line_number,lyric_text,song_id
1,Your ex-friend's sister met someone at a club and he kissed her,199
2,"Turns out it was that guy you hooked up with ages ago, some wannabe Z-lister",199
3,And all the outfits were terrible,199
4,2003 unbearable,199
5,Did you see the photos?,199
6,"No, I didn't but thanks though",199
7,I'm so in love that I might stop breathing,199
8,Drew a map on your bedroom ceiling,199
9,"No, I didn't see the news",199
10,'Cause we were somewhere else,199
11,Stumble down pretend alleyways,199
12,"Cheap wine, make believe it's champagne",199
13,I was taken by the view,199
14,Like we were in Paris,199
15,Like we were somewhere else,199
16,"Like we were in Paris, oh",199
17,We were somewhere else,199
18,Privacy sign on the door,199
19,And on my page and on the whole world,199
20,Romance is not dead,199
21,If you keep it just yours,199
22,Levitate above all the messes made,199
23,Sit quiet by my side in the shade,199
24,And not the kind that's thrown,199
25,I mean the kind under where a tree has grown,199
26,I'm so in love that I might stop breathing,199
27,Drew a map on your bedroom ceiling,199
28,"No, I didn't see the news",199
29,'Cause we were somewhere else,199
30,Stumble down pretend alleyways,199
31,"Cheap wine, make believe it's champagne",199
32,I was taken by the view,199
33,"Like we were in Paris, oh",199
34,Like we were somewhere else,199
35,"Like we were in Paris, oh",199
36,We were somewhere else,199
37,I want to brainwash you into loving me forever,199
38,I want to transport you to somewhere the culture's clever,199
39,"Confess my truth in swooping, sloping, cursive letters",199
40,Let the only flashing lights,199
41,Be the tower at midnight,199
42,In my mind,199
43,We drew a map on your bedroom ceiling,199
44,"No, I didn't see the news",199
45,'Cause we were somewhere else,199
46,In an alleyway,199
47,Drinking champagne,199
48,'Cause we were in Paris,199
49,"Yes, we were somewhere else",199
50,"My love, we were in Paris",199
51,"Yes, we were somewhere else",199
