line_number,lyric_text,song_id
1,Lock broken,200
2,Slur spoken,200
3,Wound open,200
4,Game token,200
5,I didn't know you were keeping count,200
6,Rain soaking,200
7,Blind hoping,200
8,You said I was freeloading,200
9,I didn't know you were keeping count,200
10,High infidelity,200
11,Put on your records and regret me,200
12,I bent the truth too far tonight,200
13,"I was dancing around, dancing around it",200
14,High infidelity,200
15,Put on your headphones and burn my city,200
16,Your picket fence is sharp as knives,200
17,"I was dancing around, dancing around it",200
18,Do you really want to know where I was April 29th?,200
19,Do I really have to chart the constellations in his eyes?,200
20,Storm coming,200
21,Good husband,200
22,Bad omen,200
23,Dragged my feet right down the aisle,200
24,At the house lonely,200
25,Good money,200
26,"I'd pay, if you'd just know me",200
27,Seemed like the right thing at the time,200
28,You know there's many different ways that you can kill the one you love,200
29,The slowest way is never loving them enough,200
30,Do you really want to know where I was April 29th?,200
31,Do I really have to tell you how he brought me back to life?,200
32,High infidelity,200
33,Put on your records and regret me,200
34,I bent the truth too far tonight,200
35,"I was dancing around, dancing around it",200
36,High infidelity,200
37,Put on your headphones and burn my city,200
38,Your picket fence is sharp as knives,200
39,"I was dancing around, dancing around it",200
40,Do you really want to know where I was April 29th?,200
41,Do I really have to chart the constellations in his eyes?,200
42,You know there's many different ways that you can kill the one you love,200
43,The slowest way is never loving them enough,200
44,High infidelity,200
45,Put on your records and regret meeting me,200
46,I bent the truth too far tonight,200
47,"I was dancing around, dancing around it",200
48,High infidelity,200
49,Put on your headphones and burn my city,200
50,Your picket fence is sharp as knives,200
51,"I was dancing around, dancing around it",200
52,"Oh, there's many different ways that you can kill the one you love",200
53,"And it's never enough, it's never enough",200
54,Lock broken,200
55,Slur spoken,200
56,Wound open,200
57,Game token,200
58,I didn't know you were keeping count,200
59,Rain soaking,200
60,Blind hoping,200
61,You said I was freeloading,200
62,I didn't know you were keeping count,200
63,"But, oh, you were keeping count",200
