line_number,lyric_text,song_id
1,Dear reader,203
2,If it feels like a trap,203
3,You're already in one,203
4,Dear reader,203
5,Get out your map,203
6,Pick somewhere and just run,203
7,Dear reader,203
8,"Burn all the files, desert all your past lives",203
9,And if you don't recognize yourself,203
10,That means you did it right,203
11,Never take advice from someone who's falling apart,203
12,Never take advice from someone who's falling apart,203
13,Dear reader,203
14,Bend when you can,203
15,Snap when you have to,203
16,Dear reader,203
17,You don't have to answer,203
18,Just 'cause they asked you,203
19,Dear reader,203
20,The greatest of luxuries is your secrets,203
21,Dear reader,203
22,When you aim at the devil,203
23,Make sure you don't miss,203
24,Never take advice from someone who's falling apart,203
25,Never take advice from someone who's falling apart,203
26,So I wander through these nights,203
27,I prefer hiding in plain sight,203
28,My fourth drink in my hand,203
29,These desperate prayers of a cursed man,203
30,Spilling out to you for free,203
31,"But, darling, darling, please",203
32,You wouldn't take my word for it,203
33,If you knew who was talking,203
34,If you knew where I was walking,203
35,"To a house, not a home, all alone, 'cause nobody's there",203
36,Where I pace in my pen and my friends found friends who care,203
37,No one sees when you lose when you're playing solitaire,203
38,You should find another guiding light,203
39,"Guiding light, but I shine so bright",203
40,You should find another guiding light,203
41,"Guiding light, but I shine so bright",203
42,You should find another,203
43,You should find another,203
44,Find another,203
45,You should find another,203
