line_number,lyric_text,song_id
1,I washed my hands of us at the club,204
2,You made a mess of me,204
3,I pictured you with other girls in love,204
4,Then threw up on the street,204
5,Like waiting for a bus that never shows,204
6,You just start walkin' on,204
7,"They say that if it's right, you know",204
8,Each bar plays our song,204
9,Nothing has ever felt so wrong,204
10,"Oh, my, love is a lie",204
11,Shit my friends say to get me by,204
12,It hits different,204
13,It hits different this time,204
14,Catastrophic blues,204
15,Movin' on was always easy for me to do,204
16,It hits different,204
17,It hits different 'cause it's you,204
18,'Cause it's you,204
19,"I used to switch out these Kens, I'd just ghost",204
20,Rip the band-aid off and skip town like an asshole outlaw,204
21,Freedom felt like summer then on the coast,204
22,Now the sun burns my heart and the sand hurts my feelings,204
23,And I never don't cry at the bar (And I never don't cry),204
24,"Yeah, my sadness is contagious (My sadness is contagious)",204
25,I slur your name till someone puts me in a car,204
26,I stopped receiving invitations,204
27,"Oh, my, love is a lie",204
28,Shit my friends say to get me by,204
29,It hits different,204
30,It hits different this time,204
31,Catastrophic blues,204
32,Movin' on was always easy for me to do,204
33,It hits different,204
34,It hits different 'cause it's you,204
35,'Cause it's you,204
36,"I find the artifacts, cried over a hat",204
37,Cursed the space that I needed,204
38,"I trace the evidence, make it make some sense",204
39,Why the wound is still bleedin',204
40,You were the one that I loved,204
41,"Don't need another metaphor, it's simple enough",204
42,A wrinkle in time like the crease by your eyes,204
43,This is why they shouldn't kill off the main guy,204
44,Dreams of your hair and your stare and sense of belief,204
45,"In the good in the world, you once believed in me",204
46,And I felt you and I held you for a while,204
47,Bet I could still melt your world,204
48,"Argumentative, antithetical dream girl",204
49,I heard your key turn in the door down the hallway,204
50,Is that your key in the door?,204
51,Is it okay? Is it you?,204
52,Or have they come to take me away?,204
53,To take me away,204
54,"Oh, my, love is a lie",204
55,Shit my friends say to get me by,204
56,It hits different (It hits different),204
57,It hits different this time,204
58,Catastrophic blues,204
59,Movin' on was always easy for me to do,204
60,It hits different (It hits different),204
61,It hits different 'cause it's you,204
62,"Oh, my, love is a lie",204
63,Shit my friends say to get me by,204
64,'Cause it's you,204
65,Catastrophic blues,204
66,Movin' on was always easy for me to do,204
67,It hits different (Yeah),204
68,It's different 'cause it's you,204
