line_number,lyric_text,song_id
1,Karma is that girl like  (Grah),206
2,You're talking shit,206
3,For the hell of it,206
4,Addicted to betrayal,206
5,But you're relevant,206
6,You're terrified to look down,206
7,'Cause if you dare,206
8,You'll see the glare,206
9,Of everyone you burned just to get there,206
10,It's coming back around,206
11,And I keep my side of the street clean,206
12,You wouldn't know what I mean,206
13,'Cause karma is my boyfriend,206
14,Karma is a god,206
15,Karma is the breeze in my hair on the weekend,206
16,Karma's a relaxing thought,206
17,Aren't you envious that for you it's not?,206
18,Sweet like honey,206
19,Karma is a cat,206
20,Purring in my lap 'cause it loves me,206
21,Flexing like a goddamn acrobat,206
22,Me and karma vibe like that,206
23,Karma is ya checks 'boutta bounce (Damn),206
24,Karma is a fire in ya house (Grah),206
25,And she 'boutta pop up unannounced (Like),206
26,And she never leaving you alone (Damn),206
27,Watch her put ya opps on a throne (Damn),206
28,Got you waving pretty white flags,206
29,Feenin' for that cash,206
30,Thinking it'll save ya,206
31,Now you switching up ya behavior,206
32,"It's okay, baby",206
33,"You ain't gotta worry, karma never gets lazy",206
34,"So I keep my head up, my bread up, I won't let up (Never)",206
35,"Promise that you'll never endeavor with none lesser (Ever, ever)",206
36,I be draggin' that wagon,206
37,Karma is a beauty winning that pageant (Grah),206
38,'Cause karma is my boyfriend (Damn),206
39,Karma is a god,206
40,Karma is the breeze in my hair on the weekend,206
41,Karma's a relaxing thought,206
42,Aren't you envious that for you it's not?,206
43,Sweet like honey,206
44,Karma is a cat,206
45,Purring in my lap 'cause it loves me,206
46,Flexing like a goddamn acrobat,206
47,Me and karma vibe like that (Grah),206
48,Ask me what I learned from all those years,206
49,Ask me what I earned from all those tears,206
50,Ask me why so many fade but I'm still here,206
51,I'm still here,206
52,I'm still here,206
53,'Cause karma is the thunder,206
54,Rattling your ground,206
55,Karma's on your scent like a bounty hunter,206
56,And karma's gonna track you down,206
57,Step by step from town to town,206
58,Sweet like justice,206
59,Karma is a queen,206
60,Karma takes all my friends to the summit (Facts),206
61,Karma is the guy on the screen coming straight home to me,206
62,'Cause karma is my boyfriend,206
63,Karma is a god,206
64,Karma is the breeze in my hair on the weekend,206
65,Karma's a relaxing thought,206
66,Aren't you envious that for you it's not?,206
67,Sweet like honey,206
68,Karma is a cat,206
69,Purring in my lap 'cause it loves me,206
70,Flexing like a goddamn acrobat,206
71,Me and karma vibe like that,206
72,Karma is my boyfriend,206
73,Karma is a god,206
74,Karma is my bestie,206
75,Karma's a relaxing thought …,206
76,Karma's gonna hold you down,206
