line_number,lyric_text,song_id
1,Loving him is like driving a new Maserati down a dead-end street,65
2,"Faster than the wind, passionate as sin, ending so suddenly",65
3,Loving him is like trying to change your mind once you're already flying through the free fall,65
4,"Like the colors in autumn, so bright, just before they lose it all",65
5,Losing him was blue like I'd never known,65
6,"Missing him was dark gray, all alone",65
7,Forgetting him was like trying to know somebody you never met,65
8,But loving him was red,65
9,But loving him was red,65
10,Touching him was like realizing all you ever wanted was right there in front of you,65
11,Memorizing him was as easy as knowing all the words to your old favorite song,65
12,Fighting with him was like trying to solve a crossword and realizing there's no right answer,65
13,Regretting him was like wishing you never found out that love could be that strong,65
14,Losing him was blue like I'd never known,65
15,"Missing him was dark gray, all alone",65
16,Forgetting him was like trying to know somebody you never met,65
17,"But loving him was red, oh, red",65
18,Burning red,65
19,Remembering him comes in flashbacks and echoes,65
20,"Tell myself it's time now, gotta let go",65
21,But moving on from him is impossible when I still see it all in my head in burning red,65
22,Burning it was red,65
23,"Oh, losing him was blue like I'd never known",65
24,"Missing him was dark gray, all alone",65
25,Forgetting him was like trying to know somebody you never met,65
26,"'Cause loving him was red, yeah, yeah, red",65
27,"Oh, burning red",65
28,And that's why he's spinning around in my head,65
29,"Comes back to me, burning red, yeah, yeah",65
30,His love was like driving a new Maserati down a dead-end street,65
