line_number,lyric_text,song_id
1,"Once upon a time, a few mistakes ago",67
2,"I was in your sights, you got me alone",67
3,"You found me, you found me",67
4,You found me-e-e-e-e,67
5,I guess you didn't care and I guess I liked that,67
6,"And when I fell hard, you took a step back",67
7,"Without me, without me,",67
8,Without me-e-e-e-e,67
9,And he's long gone,67
10,When he's next to me,67
11,And I realize,67
12,The blame is on me,67
13,'Cause I knew you were trouble when you walked in,67
14,"So, shame on me, now",67
15,Flew me to places I'd never been,67
16,"Till you put me down, oh",67
17,I knew you were trouble when you walked in,67
18,"So, shame on me, now",67
19,Flew me to places I'd never been,67
20,"Now, I'm lying on the cold hard ground",67
21,"Oh, oh-oh",67
22,"Trouble, trouble, trouble",67
23,"Oh, oh-oh",67
24,"Trouble, trouble, trouble",67
25,"No apologies, he'll never see you cry",67
26,Pretends he doesn't know that he's the reason why,67
27,"You're drowning, you're drowning",67
28,You're drowning,67
29,And I heard you moved on from whispers on the street,67
30,A new notch in your belt is all I'll ever be,67
31,"And now I see, now I see,",67
32,Now I see-ee-ee-ee-ee,67
33,He was long gone,67
34,When he met me,67
35,And I realize,67
36,"The joke is on me, hey",67
37,I knew you were trouble when you walked in (Oh),67
38,"So, shame on me, now",67
39,Flew me to places I'd never been,67
40,Till you put me down (Oh),67
41,I knew you were trouble when you walked in (You were trouble when you walked in),67
42,"So, shame on me, now",67
43,Flew me to places I'd never been (Yeah),67
44,"Now, I'm lying on the cold hard ground",67
45,"Oh, oh-oh (Yeah)",67
46,"Trouble, trouble, trouble",67
47,"Oh, oh-oh",67
48,"Trouble, trouble, trouble",67
49,And the saddest fear comes creeping in,67
50,"That you never loved me or her, or anyone, or anything",67
51,Yeah,67
52,I knew you were trouble when you walked in,67
53,"So, shame on me, now",67
54,Flew me to places I'd never been (Never been),67
55,Till you put me down (Oh),67
56,I knew you were trouble when you walked in (Knew it right there),67
57,"So, shame on me, now (Knew it right there)",67
58,Flew me to places I'd never been (Ooh),67
59,"Now, I'm lying on the cold hard ground",67
60,"Oh, oh-oh",67
61,"Trouble, trouble, trouble (Oh)",67
62,"Oh, oh-oh",67
63,"Trouble, trouble, trouble",67
64,'Cause I knew you were trouble when you walked in,67
65,"Trouble, trouble, trouble",67
66,'Cause I knew you were trouble when you walked in,67
67,"Trouble, trouble, trouble",67
