line_number,lyric_text,song_id
1,It feels like a perfect night,69
2,To dress up like hipsters,69
3,And make fun of our exes,69
4,"Ah, ah, ah, ah",69
5,It feels like a perfect night,69
6,For breakfast at midnight,69
7,To fall in love with strangers,69
8,"Ah, ah, ah, ah",69
9,"Yeah, we're happy, free, confused and lonely at the same time",69
10,"It's miserable and magical, oh, yeah",69
11,"Tonight's the night when we forget about the deadlines, it's time",69
12,"Ah, ah",69
13,I don't know about you,69
14,But I'm feeling 22,69
15,Everything will be alright if,69
16,You keep me next to you,69
17,You don't know about me,69
18,But I'll bet you want to,69
19,Everything will be alright if,69
20,We just keep dancing like we're,69
21,22,69
22,22,69
23,It seems like one of those nights,69
24,This place is too crowded,69
25,"Too many cool kids (""Who's Taylor Swift anyway? Ew!"")",69
26,"Ah, ah, ah, ah",69
27,It seems like one of those nights,69
28,We ditch the whole scene,69
29,"And end up dreaming instead of sleeping, yeah",69
30,"We're happy, free, confused and lonely in the best way",69
31,"It's miserable and magical, oh, yeah",69
32,"Tonight's the night when we forget about the heartbreaks, it's time",69
33,"Ah, ah (Hey!)",69
34,I don't know about you,69
35,But I'm feeling 22,69
36,Everything will be alright if,69
37,You keep me next to you,69
38,You don't know about me,69
39,But I'll bet you want to,69
40,Everything will be alright if (Alright),69
41,We just keep dancing like we're,69
42,"22 (Oh, oh, oh, oh, oh)",69
43,22 (I don't know about you),69
44,22,69
45,22,69
46,It feels like one of those nights,69
47,We ditch the whole scene,69
48,It feels like one of those nights,69
49,We won't be sleeping,69
50,It feels like one of those nights,69
51,You look like bad news,69
52,I gotta have you,69
53,I gotta have you,69
54,Whoa,69
55,"Oh, yeah, aye, yeah (Hey!)",69
56,I don't know about you (I don't know about you),69
57,But I'm feeling 22,69
58,Everything will be alright if,69
59,You keep me next to you,69
60,You don't know about me (You don't know about me),69
61,But I'll bet you want to,69
62,Everything will be alright if,69
63,We just keep dancing like we're 22 (Dance like we're 22),69
64,"Ooh, whoa-oh",69
65,22 (Dancing like),69
66,"22 (Yeah, yeah)",69
67,"22 (Yeah-yeah, yeah)",69
68,It feels like one of those nights,69
69,We ditch the whole scene,69
70,It feels like one of those nights,69
71,We won't be sleeping,69
72,It feels like one of those nights,69
73,You look like bad news,69
74,I gotta have you,69
75,I gotta have you,69
