line_number,lyric_text,song_id
1,I remember when we broke up the first time,71
2,"Saying, ""This is it, I've had enough,"" 'cause like",71
3,We hadn't seen each other in a month,71
4,"When you said you needed space, what?",71
5,"Then you come around again and say ""Baby",71
6,"I miss you and I swear I'm gonna change, trust me""",71
7,Remember how that lasted for a day?,71
8,"I say, ""I hate you"", we break up, you call me, ""I love you""",71
9,"Ooh, ooh-ooh-ooh-ooh",71
10,We called it off again last night,71
11,"But ooh, ooh-ooh-ooh-ooh",71
12,"This time, I'm telling you, I'm telling you",71
13,"We are never, ever, ever getting back together",71
14,"We are never, ever, ever getting back together",71
15,"You go talk to your friends, talk to my friends, talk to me",71
16,"But we are never, ever, ever, ever getting back together",71
17,"Like, ever",71
18,I'm really gonna miss you picking fights,71
19,"And me falling for it, screaming that I'm right",71
20,And you would hide away and find your peace of mind,71
21,With some indie record that's much cooler than mine,71
22,"Ooh, ooh-ooh-ooh-ooh",71
23,You called me up again tonight,71
24,"But ooh, ooh-ooh-ooh-ooh",71
25,"This time, I'm telling you, I'm telling you",71
26,"We are never, ever, ever getting back together (We)",71
27,"We are never, ever, ever getting back together",71
28,"You go talk to your friends, talk to my friends, talk to me (Talk to me)",71
29,"But we are never, ever, ever, ever getting back together",71
30,"Ooh, ooh-ooh-ooh-ooh (Yeah)",71
31,"Ooh, ooh-ooh-ooh-ooh-ooh (Yeah)",71
32,"Ooh, ooh-ooh-ooh-ooh (Yeah)",71
33,"Oh, oh, oh",71
34,I used to think that we were forever ever,71
35,"And I used to say, ""Never say never""",71
36,"Ugh, so he calls me up and he's like, ""I still love you""",71
37,"And I'm like, ""I'm just, I mean, this is exhausting, you know, like",71
38,"We are never getting back together, like, ever"" (No!)",71
39,"We are never, ever, ever getting back together",71
40,"We are never, ever, ever getting back together",71
41,"You go talk to your friends, talk to my friends, talk to me",71
42,"But we are never, ever, ever, ever getting back together",71
43,"We (Ooh, ooh-ooh-ooh-ooh)",71
44,"Getting back together (Ooh, ooh-ooh-ooh-ooh-ooh)",71
45,"We (Ooh, ooh-ooh-ooh-ooh)",71
46,"Getting back together (Ooh, ooh-ooh-ooh-ooh-ooh)",71
47,"You go talk to your friends, talk to my friends, talk to me (Talk to me)",71
48,"But we are never, ever, ever, ever getting back together",71
