line_number,lyric_text,song_id
1,"Long handwritten notes, deep in your pocket",75
2,"Words, how little they mean when you're a little too late",75
3,"I stood right by the tracks, your face in a locket",75
4,"Good girls, hopeful they'll be and long they will wait",75
5,We had,75
6,"A beautiful, magic love there",75
7,What a sad,75
8,"Beautiful, tragic love affair",75
9,"In dreams, I meet you in warm conversation",75
10,And we both wake in lonely beds and different cities,75
11,And time is taking its sweet time erasing you,75
12,"And you've got your demons and, darling",75
13,They all look like me,75
14,'Cause we had,75
15,"A beautiful, magic love there",75
16,What a sad,75
17,"Beautiful, tragic love affair",75
18,"Distance, timing, breakdown, fighting",75
19,"Silence, the train runs off its tracks",75
20,"Kiss me, try to fix it",75
21,Could you just try to listen?,75
22,"Hang up, give up and for the life of us",75
23,We can't get back,75
24,"A beautiful, magic love there",75
25,What a sad,75
26,"Beautiful, tragic, beautiful, tragic",75
27,Beautiful,75
28,What we had,75
29,"A beautiful, magic love there",75
30,What a sad,75
31,"Beautiful, tragic love affair",75
32,We had,75
33,"A beautiful, magic love there",75
34,What a sad,75
35,"Beautiful, tragic love affair",75
