line_number,lyric_text,song_id
1,"I said, ""Oh my, what a marvelous tune""",78
2,"It was the best night, never would forget how he moved",78
3,The whole place was dressed to the nines,78
4,"And we were dancing, dancing",78
5,Like we're made of starlight,78
6,Like we're made of starlight,78
7,I met Bobby on the boardwalk summer of '45,78
8,Picks me up late one night out the window,78
9,"We were seventeen and crazy, running wild, wild",78
10,Can't remember what song it was playing when we walked in,78
11,The night we snuck into a yacht club party,78
12,Pretending to be a duchess and a prince,78
13,"And I said, ""Oh my, what a marvelous tune""",78
14,"It was the best night, never would forget how he moved",78
15,The whole place was dressed to the nines,78
16,"And we were dancing, dancing",78
17,"Like we're made of starlight, starlight",78
18,"Like we're made of starlight, starlight",78
19,"He said, ""Look at you, worrying too much about things you can't change",78
20,"You'll spend your whole life singing the blues if you keep thinking that way""",78
21,"He was trying to skip rocks on the ocean, saying to me",78
22,"""Don't you see the starlight, starlight?",78
23,"Don't you dream impossible things?""",78
24,"Like, ""Oh my, what a marvelous tune""",78
25,"It was the best night, never would forget how he moved",78
26,The whole place was dressed to the nines,78
27,"And we were dancing, dancing",78
28,"Like we're made of starlight, starlight",78
29,"Like we're made of starlight, starlight",78
30,"Ooh, ooh, he's talking crazy",78
31,"Ooh, ooh, dancing with me",78
32,"Ooh, ooh, we could get married",78
33,Have ten kids and teach them how to dream,78
34,"""Oh my, what a marvelous tune""",78
35,"It was the best night, never would forget how he moved",78
36,The whole place was dressed to the nines,78
37,"And we were dancing, dancing",78
38,"Like we're made of starlight, starlight",78
39,"Like we're made of starlight, starlight",78
40,"Like we're made of starlight, starlight",78
41,Like we dream impossible dreams,78
42,"Like starlight, starlight",78
43,Like we dream impossible dreams,78
44,"Don't you see the starlight, starlight?",78
45,Don't you dream impossible things?,78
