line_number,lyric_text,song_id
1,"Don't look at me, you got a girl at home",82
2,"And everybody knows that, everybody knows that, ah ah",82
3,"Don't look at me, you got a girl at home",82
4,And everybody knows that,82
5,I don't even know her,82
6,But I feel a responsibility to do what's upstanding and right,82
7,"It's kinda like a code, yeah",82
8,And you've been getting closer and closer,82
9,And crossing so many lines,82
10,And it would be a fine proposition,82
11,If I was a stupid girl,82
12,"But, honey, I am no one's exception",82
13,"This, I have previously learned",82
14,"So don't look at me, you got a girl at home",82
15,"And everybody knows that, everybody knows that, ah ah",82
16,"Don't look at me, you got a girl at home",82
17,"And everybody knows that, everybody knows that",82
18,I see you turn off your phone,82
19,"And now you've got me alone, and I say",82
20,"""Don't look at me, you got a girl at home""",82
21,"And everybody knows that, everybody knows that",82
22,I just want to make sure,82
23,You understand perfectly,82
24,You're the kind of man who makes me sad,82
25,"While she waits up, you chase down the newest thing",82
26,And take for granted what you have,82
27,And it would be a fine proposition,82
28,If I was a stupid girl,82
29,"And yeah, I might go with it",82
30,If I hadn't once been just like her,82
31,"So don't look at me, you got a girl at home",82
32,"And everybody knows that, everybody knows that, ah ah",82
33,"Don't look at me, you got a girl at home",82
34,"And everybody knows that, everybody knows that",82
35,I see you turn off your phone,82
36,"And now you've got me alone, and I say",82
37,"""Don't look at me, you got a girl at home""",82
38,"And everybody knows that, everybody knows that",82
39,"Oh, oh",82
40,"Oh, oh",82
41,"Call a cab, lose my number",82
42,You're about to lose your girl,82
43,"Call a cab, lose my number",82
44,Let's consider this lesson learned,82
45,"Don't look at me, you got a girl at home",82
46,"And everybody knows that, everybody knows that, ah ah",82
47,"Don't look at me, you got a girl at home",82
48,"And everybody knows that, everybody knows that",82
49,I wanna see you pick up your phone,82
50,And tell her you're coming home,82
51,"Don't look at me, you got a girl at home",82
52,"And everybody knows that, everybody knows that",82
53,It would be a fine proposition,82
54,If I hadn't once been just like her,82
