line_number,lyric_text,song_id
1,"(What about your promises, promises?)",87
2,"(What about your promises, promises, promises?)",87
3,What a shame?,87
4,"Didn't wanna be the one that got away, yeah",87
5,"Big mistake, you broke the sweetest promise",87
6,That you never should have made,87
7,I'm here on the kitchen floor,87
8,"You call, but I won't hear it",87
9,"You said, ""No one else""",87
10,"How could you do this, babe?",87
11,"You really blew this, babe",87
12,"We ain't getting through this one, babe",87
13,"This is the last time I'll ever call you, babe",87
14,"This is the last time I'll ever call you, babe",87
15,"(What about your promises, promises, promises?)",87
16,What a waste?,87
17,"Takin' down the pictures and the plans we made, yeah",87
18,And it's strange how your face doesn't look so innocent,87
19,"Your secret has its consequence and that's on you, babe",87
20,I break down every time you call,87
21,"We're a wreck, you're the wrecking ball",87
22,"We said, ""No one else""",87
23,"How could you do this, babe?",87
24,"You really blew this, babe",87
25,"We ain't getting through this one, babe",87
26,"This is the last time I'll ever call you, babe",87
27,This is the last time I'll ever call you (Babe),87
28,Since you admitted it,87
29,I keep picturing,87
30,Her lips on your neck,87
31,I can't unsee it,87
32,I hate that because of you,87
33,"I can't love you, babe",87
34,"Yeah, yeah",87
35,What a shame?,87
36,Didn't want to be the one that got away,87
37,"How could you do this, babe?",87
38,"You really blew this, babe",87
39,"We ain't getting through this one, babe",87
40,"This is the last time I'll ever call you, babe",87
41,"This is the last time I'll ever call you, babe",87
42,"I'm here on the kitchen floor, you call but I won't hear it",87
43,"You said, ""No one else""",87
44,"We ain't getting through this one, babe",87
45,I break down every time you call,87
46,"We're a wreck, you're the wrecking ball",87
47,"You said, ""No one else""",87
48,"This is the last time I'll ever call you, babe",87
49,"(What about your promises, promises?)",87
