line_number,lyric_text,song_id
1,He says he doesn't believe anything much he hears these days,90
2,"He says, ""Why fall in love, just so you can watch it go away?""",90
3,He spends most of his nights wishing it was how it used to be,90
4,He spends most of his flights getting pulled down by gravity,90
5,I call just checking up on him,90
6,"He's up, 3 a.m. pacing",90
7,"He says, ""It's not just a phase I'm in""",90
8,My voice comes out begging,90
9,All this time I didn't know,90
10,You were breaking down,90
11,I'd fall to pieces on the floor,90
12,If you weren't around,90
13,Too young to know it gets better,90
14,I'll be summer sun for you forever,90
15,Forever winter if you go,90
16,He seems fine most of the time,90
17,Forcing smiles and never minds,90
18,His laugh is a symphony,90
19,"When the lights go out, it's hard to breathe",90
20,"I pull at every thread, trying to solve the puzzles in his head",90
21,Live my life scared to death he'll decide to leave instead,90
22,I call just checking up on him,90
23,"He's up, 5 a.m. wasted",90
24,"Long gone, not even listening",90
25,My voice comes out screaming,90
26,All this time I didn't know,90
27,You were breaking down,90
28,I'd fall to pieces on the floor,90
29,If you weren't around,90
30,Too young to know it gets better,90
31,I'll be summer sun for you forever,90
32,Forever winter if you go,90
33,If I was standing there in your apartment,90
34,I'd take that bomb in your head and disarm it,90
35,I'd say I love you even at your darkest and,90
36,Please don't go,90
37,I didn't know,90
38,You were breaking down,90
39,I'd fall to pieces on the floor,90
40,If you weren't around,90
41,Too young to know it gets better,90
42,I'll be summer sun for you forever,90
43,Forever winter if you go,90
44,I'll be your summer sun forever,90
45,At 3 a.m. pacing,90
46,All this time I didn't know,90
47,At 5 a.m. wasted,90
48,I'd be in pieces on the floor,90
49,Forever winter if you go,90
50,He says he doesn't believe anything much he hears these days,90
51,"I say, ""Believe in one thing, I won't go away""",90
