line_number,lyric_text,song_id
1,"One, two, three, four",91
2,Give me the keys,91
3,I'll bring the car back around,91
4,We shouldn't be in this town,91
5,"And my so-called friends, they don't know",91
6,I'd drive away before I let you go,91
7,"So give me a reason and don't say no, no",91
8,"There's a chain round your throat, piece of paper where I wrote",91
9,"""I'll wait for you""",91
10,"There's a key on the chain, there's a picture in a frame",91
11,Take it with you,91
12,"And run, like you'd run from the law",91
13,"Darling, let's run",91
14,Run from it all,91
15,We can go where our eyes can take us,91
16,"Go where no one else is, run",91
17,"Ooh, we'll run",91
18,"Ooh, we'll run",91
19,"Ooh, we'll run",91
20,So you laugh like a child,91
21,And I'll sing like no one cares,91
22,"No one to be, no one to tell",91
23,I could see this view a hundred times,91
24,Pale blue sky reflected in your eyes,91
25,"So give me a reason and don't say no, no",91
26,"And the note from the locket, you keep it in your pocket",91
27,Since I gave it to you,91
28,"There's a heart on your sleeve, I'll take it when I leave",91
29,And hold it for you,91
30,"And run, like you'd run from the law",91
31,"Darling, let's run",91
32,Run from it all,91
33,We can go like they're trying to chase us,91
34,"Go where no one else is, run",91
35,"Ooh, we'll run",91
36,"Ooh, we'll run",91
37,"Ooh, we'll run",91
38,There's been this hole in my heart,91
39,This thing was a shot in the dark,91
40,Say you'll never let 'em tear us apart,91
41,And I'll hold on to you while we run (Run and we'll run and we'll run and we'll run),91
42,Like you'd run from the law (Run and we'll run and we'll run and we'll run),91
43,"Darling, let's run (Run and we'll run and we'll run and we'll run)",91
44,"Run from it all (Run, we'll run and we'll run and we'll run)",91
45,We can go where our eyes can take us,91
46,"Go where no one else is, run",91
47,"Ooh, we'll run",91
48,"Ooh, we'll run",91
49,"Ooh, we'll run",91
50,"Ooh, and we'll run",91
