line_number,lyric_text,song_id
1,The way you move is like a full-on rainstorm,43
2,And I'm a house of cards,43
3,"You're the kind of reckless that should send me running, but I",43
4,Kinda know that I won't get far,43
5,"And you stood there in front of me, just close enough to touch",43
6,Close enough to hope you couldn't see what I was thinking of,43
7,Drop everything now,43
8,Meet me in the pouring rain,43
9,Kiss me on the sidewalk,43
10,Take away the pain,43
11,'Cause I see sparks fly,43
12,Whenever you smile,43
13,"Get me with those green eyes, baby, as the lights go down",43
14,Give me something that'll haunt me when you're not around,43
15,'Cause I see sparks fly,43
16,Whenever you smile,43
17,My mind forgets to remind me,43
18,You're a bad idea,43
19,"You touch me once, and it's really something",43
20,You find I'm even better than you,43
21,Imagined I would be,43
22,"I'm on my guard for the rest of the world, but with you",43
23,I know it's no good,43
24,"And I could wait patiently, but",43
25,I really wish you would,43
26,Drop everything now,43
27,Meet me in the pouring rain,43
28,Kiss me on the sidewalk,43
29,Take away the pain,43
30,'Cause I see sparks fly,43
31,Whenever you smile,43
32,"Get me with those green eyes, baby, as the lights go down",43
33,Give me something that'll haunt me when you're not around,43
34,'Cause I see sparks fly,43
35,Whenever you smile,43
36,I'll run my fingers through your hair and,43
37,Watch the lights go wild,43
38,Just keep on keeping your eyes on me,43
39,It's just wrong enough to make it feel right,43
40,"And lead me up the staircase, won't you whisper soft and slow?",43
41,"I'm captivated by you, baby, like a fireworks show",43
42,Drop everything now,43
43,Meet me in the pouring rain,43
44,Kiss me on the sidewalk,43
45,Take away the pain,43
46,'Cause I see sparks fly,43
47,Whenever you smile,43
48,"Get me with those green eyes, baby, as the lights go down",43
49,Give me something that'll haunt me when you're not around,43
50,'Cause I see sparks fly,43
51,Whenever you smile,43
52,"And the sparks fly, oh baby, smile",43
53,And the sparks fly,43
